池田樹雷人	Ikeda Tree Raito
川口尚紀	Kawaguchi Naoki
蔚山广域市	Ulsan Metropolitan City
盧斯奧	Lucio
佩德罗 卡尔德隆 巴尔卡	Pedro Calderon Barca
哈辛 耶巴達	Hassin Yebada
冰岛总统列表	List of Presidents of Iceland
广州昊昕贸易足球俱乐部	Guangzhou Haoxin Trading Football Club
北秋田市	North Akita City
布洛涅女伯爵玛丽一世	Marie I, Countess of Boulogne
兰陵县	Lanling County
俄羅斯人	Russian
南北朝	Northern and Southern Dynasties
科拉姆 麥卡恩	Colum McCann
興化平話字	Xinghua Pinghua
yngve hallèn	yngve hallèn
鲍德温四世	Baldwin IV
邱南隆	Qiu Nanlong
cbbc 電視頻道	cbbc tv channel
羅海晴	Luo Haiqing
金子順一	Junichi Kim
客蒙	Kemeng
诺曼底王朝	norman dynasty
艾積迪	Aijidi
临安	Lin'an
林志紘	Lin Zhihong
相信愛	believe in love
沈芷凝	Shen Zhining
童眼	child eye
西萨旺	Sisavann
夏洛特公主 劍橋	princess charlotte cambridge
意大利半島	italian peninsula
教宗郭诺	Pope Gono
莱茵兰 普法尔茨	Rhineland Palatinate
富川市	Bucheon
錄音室專輯	studio album
海口美兰国际机场	Haikou Meilan International Airport
比拉马尔克桑特	Vila Marquezante
哈卡斯语	Khakassia
法属印度支那元	French Indochinese dollar
吳淞口	Wusongkou
李多海	Lee Da-hae
台大醫院站	National Taiwan University Hospital Station
澳门立法会	Macau Legislative Council
螺丝小姐要出嫁	Miss Screw is getting married
玛嘉烈公主 斯诺登伯爵夫人	Princess Margaret, Countess of Snowdon
馬特 麥凱	Matt McKay
蘇格蘭教會	Church of Scotland
張慶翔	Zhang Qingxiang
康寧大學臺北校區	Corning University Taipei Campus
費城縣	Philadelphia County
米罗斯瓦夫 米莱夫斯基	Miroslaw Milewski
索马里过渡国家政府	transitional national government of somalia
安祿山	An Lushan
愛德華 韋斯特馬克	Edward Westmark
印巴分治	Partition of India and Pakistan
波蘭總統	President of Poland
麻生あゆみ	Aso あゆみ
柳本 贝罗夫	Liuben Berov
赵薇	Zhao Wei
多倫多皮爾遜國際機場	Toronto Pearson International Airport
高棉语	Cambodian
港口里	in the port
長岡市	Nagaoka City
韓國國家男子足球隊	Korea National Men's Soccer Team
馬里納郡主 肯特公爵夫人	Lord of Marina, Duchess of Kent
贡井区	Gongjing District
官僚	bureaucracy
技術金屬	technical metal
民主党 蒙古	Democratic Party Mongolia
威廉 馬蒂亞斯 那弗	William Mathias Nafer
瑪爾庫斯 維普撒尼烏斯 阿格里帕	Marcus Vepsanius Agrippa
西班牙郵遞區號	Spanish postal code
别让我最后知道	don't let me know last
哈維爾王子 波旁 帕爾馬	Prince Javier Bourbon Parma
入侵格林纳达	Invasion of Grenada
盧學洙	Noh Hak-soo
大阪飞脚	Osaka Flying Foot
桃樂絲 麥美倫夫人	Dorothy Mrs Macmillan
欧洲女子足球錦標賽	European Women's Football Championship
金武映	Kim Mooyoung
卢布林省	Lublin Province
菲利普 森德罗斯	Philip Senderos
克莱门斯 波德维尔斯 杜尼茨	Clemens Podwells Dunitz
鐵帚腿法	Iron broom legs
竇智孔	Doo Chi Kong
约兰 佩尔松	Goran Persson
微观经济学	Microeconomics
米澤車站	Yonezawa Station
西方马克思主义	Western Marxism
河口湖	Lake Kawaguchi
大學共同利用機關法人	University joint use agency
滕州市	Tengzhou
醫道	medical way
提格利尼亞語	Tigrinya
圣赫利尔	St. Helier
沙德利 杰迪德	Shadley Jadid
中正紀念堂站	Chiang Kai-shek Memorial Hall Station
七張站	Seven Stations
民俗搖滾	folk rock
伯克利县 南卡罗来纳州	Berkeley County South Carolina
罗德 佩奇	Rod Page
吳綺莉	Wu Qili
守门员	goalkeeper
彼得 賽斯嘉	Peter Sethka
艾治利積尼	edgyley jenny
朱利安 拜恩 第一代維米的拜恩子爵	Julian Byrne, 1st Viscount Byrne of Vimy
hüdavendigâr vilayet	hüdavendigâr vilayet
與論語	and the Analects
米爾扎 優素福 阿斯蒂亞尼亞	Mirza Yusuf Astiania
穆尔西亚	Murcia
亚西西的圣方济各圣殿	Basilica of St. Francis of Assisi
太空梭外儲箱	space shuttle outer tank
麥淳琳	Mai Chunlin
斯坦科 托多羅夫	Stanko Todorov
维尔海姆 拉森	Wilhelm Larsen
藍調	blues
終極動員令 紅色警戒	Ultimate Mobilization Order Red Alert
佩德羅 阿雷克索	Pedro Arexo
兵役	military service
黃偉國	Huang Weiguo
罗贝尔 布隆	Robert Bloom
高崎市	Takasaki
塞尼加利亞	Senigallia
稻田朋美	Inada Tomomi
毛里塔尼亚总统	President of Mauritania
黄晋发	Huang Jinfa
stand by me 哆啦a夢	stand by me doraemon
詹姆斯 亨利 汤姆斯	James Henry Thomas
安妮 大不列顛女王	Anne Queen of Great Britain
李思捷	Li Sijie
李承民	Lee Seung-min
最終幻想agito	final fantasy agito
姜巴 勒库姆	Jambal Lekum
夏威夷共和国	Republic of Hawaii
康乃馨	carnation
波恩	Bonn
伯利兹	Belize
李希	Li Xi
法國王太子	Dauphin of France
羅馬路 盧卡古	roman road lukaku
烏喇那拉氏	Ulanala
伊扎特 易卜拉欣 杜里	Izzat Ibrahim Duri
何塞 马蒂	Jose Marti
帕尼奥尼奥斯足球俱乐部	Panionios Football Club
约瑟夫 格姆利	Joseph Gormley
菲利普 罗斯	Philip Ross
斯蒂芬 巴斯特	Stephen Buster
变身 公主偶像	Transform into a princess idol
速霸陸sambar	Subaru sambar
叙利亚反对派 伊拉克和黎凡特伊斯兰国冲突	Syrian opposition Islamic State conflict in Iraq and the Levant
多塞特郡	Dorset
利尔	Lear
伊朗職業足球聯賽	Iranian Professional Football League
巴西國防部	Brazilian Ministry of Defense
奈比多	Naypyidaw
陳奐仁	Chen Huanren
特里 布蘭斯塔德	Terry Branstad
炎亞綸	Yan Ya Lun
动物之森系列	Animal Crossing Series
喀山红宝石足球俱乐部	ruby kazan football club
节奏游戏	rhythm game
莽古思	Manggus
阿拉巴馬州美國眾議院議員列表	List of members of the U.S. House of Representatives from Alabama
黃紹華	Huang Shaohua
普拉纳布 慕克吉	Pranab Mukherjee
林一平	Lin Yiping
小龙斯派罗	little dragon sparrow
西约特兰	west yotland
喬治 馬丁	George Martin
波蘭海軍	Polish Navy
诺丁汉	Nottingham
茶母 電視劇	Tea Mother TV Series
萧孟能	Xiao Mengneng
王文濤	Wang Wentao
钦察语	Kipchak
陳敏爾	Chen Miner
中国共产党河北省委员会	Hebei Provincial Committee of the Communist Party of China
長久 年號	long term
苏克鲁 萨拉吉奥卢	Sukru Saragioglu
北通古斯语支	North Tunguska
杨振宁	Yang Zhenning
山东鲁能泰山足球俱乐部	Shandong Luneng Taishan Football Club
主播台女王	anchor queen
唐尼 沃尔什	Donnie Walsh
七劍	Seven Swords
b語言	b language
芬蘭盃	Finland Cup
阿道夫 尼埃尔	Adolf Niel
傑克 登菲	Jack Dunphy
联合国秘书长	Secretary General of the United Nations
英國行政區劃	British administrative divisions
柴桢fc	Chai Zhen fc
阿拉伯人	Arab
巴黎和会	Paris Peace Conference
广德县	Guangde County
中国货币史	Chinese currency history
奉天府	Fengtianfu
蘭斯干	Lance dry
统计力学	statistical mechanics
阿隆 冈纳尔森	Aaron Gunnelson
上海铁路局	Shanghai Railway Bureau
悲惨世界	Les Miserables
修昔底德	Thucydides
漢斯 曼戈爾特	Hans Mangold
厄伽陀	Urgatta
麥道dc	McDonnell Douglas
category 裡海岛屿	category Caspian Islands
長濱鄉	Changbin Township
李承晚	Syngman Rhee
none 年俄國農奴制度改革	The reform of Russian serfdom in none year
禁色 電影	forbidden movies
阿兰 朱佩	Alain Juppé
阿图尔 达科斯塔 席尔瓦	Artur da Costa Silva
盛田昭夫	Akio Morita
四川玖玖爱	Sichuan Nine Nine Love
丹尼尔 马兰	Daniel Malan
菲利普 何塞 法默	Philip Jose Farmer
菲利普 马丁	Philip Martin
綾部守人	Ayabe Mamoru
迪迪埃 布尔克哈尔特	Didier Burckhalter
巴勃罗 聂鲁达	Pablo Neruda
法國的軍功十字章	French military cross
弹药	ammunition
敬敏皇貴妃	Emperor Jingmin
宝鸡市	Baoji City
黄金辉	Jinhui
卡洛斯三世	Carlos III
孟珙	Meng Gong
薩吉德 賈偉德	Sajid Javid
北京大学	Beijing University
美洲豹攻擊機	jaguar attack aircraft
双鱼座	Pisces
長榮海運	Evergreen Shipping
艾莉森 加洛韋	Alison Galloway
挽歌	elegy
城关镇	Chengguan Town
白語	white
論山市	Nonsan
奥良	Orleans
大樂團	big band
生物学家	biologist
马来文	Malay
川崎市	Kawasaki City
中华人民共和国最高人民检察院	Supreme People's Procuratorate of the People's Republic of China
卢森堡	Luxembourg
弱相互作用	weak interaction
伊斯坦堡b	istanbul b
戴维 布罗德里克	David Broderick
梁思寧	Liang Sining
山東魯能泰山足球俱樂部	Shandong Luneng Taishan Football Club
德尼 狄德罗	Denis Diderot
豐儉院	Fengjianyuan
彭亨河	Pahang River
宋亚平	Song Yaping
亚历克 吉尼斯	Alec Guinness
米蘭	Milan
.so	.so
福茂唱片	Famous Records
穗積皇子	Prince Hozumi
伊曼紐 斯威登堡	Emmanuel Swedenborg
妖怪少爺	youkai master
艾朗 曉士	Allan Xiaos
動畫導演	animation director
埃克塞特公爵夫人约克的安妮	Anne of York, Duchess of Exeter
东昌区	Dongchang District
约翰 普莱费尔	John Playfair
超市夜未眠	supermarket sleepless night
校園迷糊大王	campus confused king
马德里竞技俱乐部b队	Atlético de Madrid B team
千葉縣	Chiba Prefecture
教宗加理多一世	Pope Garrido I
约瑟夫 熊彼特	Joseph Schumpeter
打點	RBI
明孝陵	Ming Xiaoling Mausoleum
鋼鼓	steel drum
泰穆 普基	taim puki
莊拿芬 摩斯	Jonathan Morse
hervé gaymard	hervé gaymard
卡塔尔航空	Qatar Airways
霍隆	Holon
哈皮 钱德勒	Happy Chandler
土耳其大國民議會大樓	Grand National Assembly building of Turkey
北京航空航天大学	Beihang University
凤凰卫视	Phoenix Television
多瑙斯特雷達	Donaustrada
郭德潔	Guo Dejie
圣道明	St Dominic
何世傑	He Shijie
貝倫人足球俱樂部	belem football club
公視	public television
聖安德魯斯	St Andrews
伊斯法罕钢铁公司	isfahan steel co.
妮姬和保羅	Nikki and Paul
盧克 伊萬斯	Luke Evans
威廉 納爾遜 第一代納爾遜伯爵	William Nelson 1st Earl of Nelson
中国国家足球队	Chinese national football team
非建制地區	unincorporated area
吴兴涵	Wu Xinghan
大樹寺	Dashu Temple
鮑勃 霍克	bob hawk
天罡北斗陣	Tiangang Beidou Array
孟高棉语族	Mon-Khmer language family
【国家语言文字工作委员会科研基地	[Scientific Research Base of the National Language and Writing Committee
乔治 鲍特韦尔	George Bottomwell
加拿大司法部	Canadian Ministry of Justice
路易斯安那州立大学	Louisiana State University
大阪飛腳	Osaka Flying Foot
俞鸿钧	Yu Hongjun
黃耀輝	Huang Yaohui
onur ayık	onur ayık
仙台體育場	Sendai Stadium
维吉尼亚军事学院	Virginia Military Academy
李安娜	Anna Li
音節文字	Syllable text
莫舒舒二世	Moshushu II
东山纪之	Noriyuki Higashiyama
都留短期大學	Dou short-term university
牛津市議會	Oxford City Council
曼弗雷多 杜卡莫	Manfredo Ducamo
梅耶 弗提斯	Mayer Fotis
利奥四世	Leo IV
丁盛	Ding Sheng
水力發電	hydroelectric power
富蘭克林縣 華盛頓州	Franklin County Washington
天主教莫雷利亞總教區	Catholic Archdiocese of Morelia
上议院领袖	Leader of the House of Lords
梁志達	Liang Zhida
孫立人	Sun Liren
新神戶站	Shin Kobe Station
俄斯特拉发	Ostrava
泰芳皇后	Queen Taifang
關原町	Sekihara-machi
伊曼努尔 康德	Immanuel Kant
club sol de américa	club sol de américa
卡爾 波普爾	Karl Popper
自由民主黨國會對策委員會	Liberal Democrats Congressional Response Committee
马姆努恩 侯赛因	Mamnoon Hussein
公元	A.D.
马宇骏	Ma Yujun
阿方索 佩纳	Alfonso Pena
束星北	beam star north
格奧爾基 特拉伊科夫	Georgi Trajkov
阿都拉萨	Abdul Razak
台灣日治時期	Taiwan's Japanese Occupation Period
三叉	trident
凱德爾斯頓的寇松男爵	Baron Curzon of Kedleston
梁启超	Liang Qichao
李娜	Li Na
马尔西利奥 费奇诺	Marcilio Ficino
小野博信	Hironobu Ono
恐怖龐克	horror punk
就想賴着妳	I just want to rely on you
夏健	Xia Jian
英国内阁	British Cabinet
风琴师	Organist
威廉 欧文	William Owen
達斯	Das
華特斯	Waters
马尔默	Malmo
莫卡伍魯恩	Moka Wuruen
伊普斯維奇	Ipswich
中國國民黨主席	Chairman of the Chinese Kuomintang
帕拉瓦文	Palawa
西伯利亚	Siberia
教宗维达	Pope Vida
穆齊爾	Musil
咸丰 年号	Xianfeng Year
特奥菲卢奥托尼	Teophilu Otoni
中华人民共和国卫生部	Ministry of Health of the People's Republic of China
地方主義	localism
第勒尼安海	Tyrrhenian Sea
民主社会主义	democratic socialism
珊瑚樹	coral tree
霍汶希	Hovinci
格勞賓登州	canton of graubünden
瓦西里 瓦西里耶維奇 庫茲涅佐夫	Vasily Vasilievich Kuznetsov
徳重健太	Kenta Tokushige
威廉五世 奥兰治	William V of Orange
天津权健足球俱乐部	Tianjin Quanjian Football Club
瓦爾特 布勞希奇	Walter Brauchic
elías hernández	elías hernández
保加利亚语	Bulgarian
底夸克	bottom quark
近江大津宮	Omi Otsu Palace
加納行政區劃	Administrative divisions of Ghana
福岡機場車站	Fukuoka Airport Station
.nl	.nl
玛丽亚 特蕾西亚 奥地利皇后	Maria Theresia Empress of Austria
香港國際主題樂園有限公司	Hong Kong International Theme Park Limited
三遊亭圓丈	Sanyou Pavilion Yuanzhang
伍衛國	Wu Weiguo
莫玮	Mo Wei
下龍市	Halong City
北愛爾蘭行政區劃	Administrative divisions of Northern Ireland
塞尔维亚王国	Kingdom of Serbia
安娜 玛丽亚 比尔特	Anna Maria Bilt
威廉 亨利 布拉格	William Henry Bragg
none 直升机	none helicopter
动作	action
柳青润	Liu Qingrun
米歇尔 罗德里格兹	Michelle Rodriguez
白河區	Baihe District
平鎮區	Pingzhen District
阿富汗民主共和国	Democratic Republic of Afghanistan
罗伯特学院	Robert College
ms abdb足球俱樂部	ms abdb football club
馬田	Martin
湯姆 卡瓦纳	Tom Kavanagh
約翰 阿比扎伊德	John Abizaid
尼日利亞足球協會	Nigeria Football Association
阿勒哈利法	Al Khalifa
新墨西哥州第一國會選區	New Mexico 1st Congressional District
费利佩二世 西班牙	Felipe II Spain
動畫歌曲	animated song
盖雷斯 索斯盖特	Gareth Southgate
卡雲農舍球場	Kayun Farmhouse Course
杜占元	Du Zhanyuan
蘇聯海軍	soviet navy
常總市	Changso City
任航	Ren Hang
欧洲社会党	European Socialist Party
阿瑟 戈德堡	Arthur Goldberg
臧金生	Zang Jinsheng
旺角大球場	Mong Kok Stadium
蔣琬	Jiang Wan
一代枭雄	generation hero
一條院	one courtyard
後現代主義文學	postmodernist literature
德国唯心主义	German idealism
天津市宁园体育场	Tianjin Ningyuan Stadium
无神论	atheism
法国总统	French President
杰克逊县 科罗拉多州	Jackson County Colorado
中国工农红军	Chinese Workers' and Peasants' Red Army
巴利阿里海	Balearic Sea
中央外事工作领导小组	Central Leading Group for Foreign Affairs
教宗杜努	Pope Dunou
诺贝尔经济学奖	Nobel Prize in Economics
熊谷站	Kumagaya Station
布斯漢姆學校	Boothham School
世界贸易中心	The World Trade Center
石硤尾體育會	Shek Kip Mei Sports Association
傣痕语	Dai language
長岡京市	Nagaokakyo City
鄭鎮奭	Jung Jin Seok
吉米 法隆	Jimmy Fallon
中国共产党中央委员会	Central Committee of the Communist Party of China
校園大學	campus university
恩斯特 奧古斯特五世 漢諾威	Ernst August V Hannover
瓦塔亞翁	Watayaon
聖克里斯多福與尼維斯	St Christopher and Nevis
上里一將	Shangri one general
杰弗里 拉什	Jeffrey Rush
聖古柏	St. Cooper
圖靈獎	Turing Award
武藤信义	Nobuyoshi Muto
羅伯特 諾齊克	Robert Nozick
梅因斯 第一足球與體育俱樂部	Maines First Football and Sports Club
皮洛士	Pyrrhus
巴拿马	Panama
北斗市	Hokuto
袁水	Yuan Shui
亚历山大大帝	King Alexander
薩里市	Surrey
會津戰爭	Aizu War
北京奧運 今日焦點	Beijing Olympics Today's Focus
阿朮	Ashu
多賀城市	Taga City
楔形文字	cuneiform
třebovice ostrava	třebovice ostrava
香港日佔時期	The Japanese occupation of Hong Kong
弗農 史密斯	Vernon Smith
高文昕	Gao Wenxin
安格斯	Angus
阿杜	Adu
朝日村	Asahi Village
艾哈迈德 马蒂格	Ahmed Martiq
宏池會 谷垣派	Hongike Club Tanagaki School
華星唱片	Huaxing Records
青雲大學音樂放送系	Qingyun University Music Broadcasting Department
阿列克谢 阿列克谢耶维奇 阿布里科索夫	Alexey Alexeyevich Abrikosov
天河客运站 地铁	Tianhe Bus Station Subway
蛇行狸翻	snake raccoon flip
萨阿迪 迈赫迪 萨利赫	Saadi Mehdi Saleh
许武	Xu Wu
费舍 史蒂芬斯	Fisher Stephens
匈牙利國家足球隊	hungary national football team
二十世紀福斯動畫	Twentieth Century Fox Animation
黃偉賢	Huang Weixian
辰卓坚赞	Chen Zhuo Jianzan
艾蕾歐諾拉 比利時公主	Eleonora Belgian Princess
加德滿都	Kathmandu
驹野友一	Komano Yuichi
約翰 卡爾霍恩	John Calhoun
銀色鼠隊	Silver Rat
杰克 科比名人纪念馆	Jack Kobe Memorial Hall of Fame
貝西克塔斯	Besiktas
東密德蘭	East Midlands
現象學	Phenomenology
陆军足球会	army football club
阿卜杜勒 卡迪尔 巴贾迈勒	Abdul Qadir Bajamal
李玟雨	Lee Min Woo
美國 歲以下國家足球隊	United States under-year national football team
伊斯法罕省	Isfahan Province
乌纳拉斯卡 阿拉斯加州	Unalaska, Alaska
伊藤惠美	Ito Emi
許新枝	Xu Xinzhi
沭阳县	Shuyang County
垃圾搖滾	grunge
格雷纳足球俱乐部	Greiner Football Club
洪煦榆	Hong Xuyu
英国	U.K.
赫塞哥維納 涅雷特瓦州	Herzegovina Neretva Region
利特	Little
新門芳	Xinmenfang
跑馬地	Happy Valley
林義郎	Lin Yilang
知觉之门	gate of perception
安德烈斯 塔兰德	Andres Tallander
奥洛夫 帕尔梅	Olof Palme
奥西耶克足球俱乐部	Osijek Football Club
科普特人	Copts
蔡和森	Cai Hesen
桂永清	Gui Yongqing
原始爱斯基摩语	Primitive Eskimo
香港傷殘人士體育協會	Hong Kong Disabled Sports Association
瑞典社会民主工人党	Swedish Social Democratic Workers' Party
固倫溫憲公主	Princess Wenxian of Gu Lun
哈马迪 杰巴里	Hammadi Jabari
约翰 包威尔	John Powell
王爱玲	Wang Ailing
维多利亚 路易丝 普鲁士公主	Victoria Louise Princess of Prussia
老爸老妈的浪漫史 第六季	How I Met Your Mother Season 6
李錦綸 配音員	Li Jinlun Voice Actor
約瑟夫 庫克	Joseph Cook
弗罗茨瓦夫	Wroclaw
莫斯科魚雷	moscow torpedo
历史上未被国际普遍承认国家列表	List of countries that have not been generally recognized internationally in history
傳統布里亞特蒙古文	Traditional Buryat Mongolian
莎莉 柯克蘭	Sally Kirkland
格奥尔基 康斯坦丁诺维奇 朱可夫	Georgi Konstantinovich Zhukov
警務處助理處長	Assistant Commissioner of Police
雷伊市政體育場	Rey Municipal Stadium
阿卜杜尔 哈里斯 纳苏蒂安	Abdul Harris Nasution
老友记 第三季	Friends Season 3
浈江	Zhenjiang
川村景明	Kawamura Kemei
昆明锐龙足球俱乐部	Kunming Ruilong Football Club
明仁	Akihito
帕萨尼阿斯	Passanias
愛德華 貝奈斯	Edward Benes
恐龍戰隊獸連者	Dinosaurs Beast Linker
御船町	Mifunecho
岩佐美咲	Iwasami Misaki
罗素 彼得斯	Russell Peters
平安时代	Heian period
福島孝喜	Fukushima Takaki
利宮	Lee Palace
邵慧婷	Shao Huiting
老爸老妈的浪漫史 第九季	How I Met Your Mother Season 9
電磁戰隊百萬連者	Electromagnetic team million company
馬梅羅迪日落	Mamerodi sunset
科布伦茨足球俱乐部	Koblenz football club
纽约自由党	New York Liberal Party
美亚娱乐	America Entertainment
darío delgado footballer born	darío delgado footballer born
山中誠晃	Yamanaka Makoto
菲利普 梅兰希通	Philip Melanchthon
後搖滾	post rock
伊蒂哈德	Ittihad
珠海站	Zhuhai Station
英国国家铁路网	British National Rail Network
中央电视台彩色电视中心	CCTV Color TV Center
建瓯市	Jianou City
威廉二世 德國	Wilhelm II Germany
育碧巴黎	Ubisoft Paris
辽天祚帝	Emperor Tianzuo of Liaoning
松岡昌宏	Matsuoka Masahiro
育碧蒙特利爾工作室	Ubisoft Montreal Studio
路易萨 玛丽亚 两西西里	luisa maria the two sicilies
.br	.br
参政院	Senate
貝拉瓜斯省	Veraguas
統合幕僚監部	Unified staff supervision department
李克强	Li Keqiang
瓦伦的阿达	ada of varen
冰島總理	Prime Minister of Iceland
圖瓦盧語	Tuvaluan
蘇薩	Susa
泰国皇家陆军	Royal Thai Army
常勝七勇士	Victory Seven Warriors
陸軍總司令部 德國國防軍	Army Headquarters German Wehrmacht
吳子尤	Wu Ziyou
祖殊 列斯頓	Zush Reston
元朗足球會	Yuen Long Football Club
蔣中正	Jiang Zhongzheng
巴約訥	bayonne
巴沙尔 阿萨德	Bashar al-Assad
佩德罗二世	Pedro II
大和郡山市	Yamato Koriyama City
鄭錫元	Zheng Xiyuan
帕斯卡定理	Pascal's Theorem
朝阳市	Chaoyang
西山朝	West Mountain Dynasty
俄罗斯米格航空器集团	Russian MiG Aircraft Group
北京理工大学	Beijing Institute of Technology
阿尔韦托 耶拉斯 卡马戈	Alberto Yeras Camargo
黃家新	Huang Jiaxin
卡斯縣 內布拉斯加州	Cass County Nebraska
赛茂康	Saimacom
日本鶺鸰	Japanese Wagtail
大坂之役	Battle of Osaka
數學哲學	philosophy of mathematics
奧奈達语	Oneida
紐約 消歧義	New York disambiguation
摩纳哥统治者列表	List of rulers of Monaco
马里安 斯彼哈尔斯基	Marian Spichalski
胡贝图斯 薩克森 科堡 哥達	hubertus saxony coburg gotha
钱嘉东	Qian Jiadong
布里斯班 前鋒s	Brisbane Strikers
国葬	state funeral
卡塔尔州	Qatar State
胡伯特 威斯	Hubert Weiss
安东尼斯 萨马拉斯	Anthony Samaras
芬蘭大公	Grand Duke of Finland
高野山	Koyasan
罗伯特 拉戈马西尼	Robert Lagomasini
原声音乐	soundtrack
杰里米 埃文斯	Jeremy Evans
全州市	Jeonju
孙瑞彬	Sun Ruibin
塔巴纳恩特莱尼亚纳山	Mount Tabana Entreignana
尚佩恩縣 伊利諾伊州	Champaign County, Illinois
阿尔塞纳 温格	Arsena Wenger
普利茅斯高中 印第安納州	Plymouth High School Indiana
國父紀念館站	Sun Yat-sen Memorial Hall Station
聖華金谷	San Joaquin Valley
秦皇岛市	Qinhuangdao
锡尔克堡体育协会	Silkeborg Athletic Association
立陶宛王国	Kingdom of Lithuania
佐藤寬子	Hiroko Sato
嚴華	Yan Hua
孟买市区县	Mumbai city district
盧森堡大公宮殿	Palace of the Grand Duke of Luxembourg
马伦 迪克森	Marlen Dixon
蘇黎世草蜢足球俱樂部	zurich grasshopper football club
哈萨克斯坦行政区划	Administrative divisions of Kazakhstan
河野次郎	Kono Jiro
贊比亞足球協會	Zambia Football Association
幽默	humor
政治	politics
花蓮台開女子足球隊	Hualien Taikai Women's Soccer Team
濟爾哈朗	zirhalang
張繼 中華民國	Zhang Ji Republic of China
博雷尔矛盾	Borrell Contradictions
瑪麗亞 亞歷山德羅芙娜 黑森 萊茵的郡主	Maria Alexandrovna Hesse, Countess of the Rhine
印度之星勋章	Star of India Medal
庶福晉	Shu Fu Jin
羅馬尼亞東正教	Romanian Orthodox Church
静海区	Jinghai District
梅赛德斯 奔驰银行	Mercedes Benz Bank
人種	race
slac國家加速器實驗室	slac national accelerator laboratory
艾比捷特	Abbyjet
沿山闽语	Yanshan Hokkien
達拉斯足球會	dallas football club
胡鎮埔	Hu Zhenpu
明斯特	Munster
吳忠明	Wu Zhongming
哥伦比亚唱片公司	Columbia Records
帕蒂 孟席斯	Patty Menzies
约瑟夫 西蒙 加利埃尼	Joseph Simon Gallieni
妮莉 費塔朵	Nelly Furtado
臺北市私立衛理女子高級中學	Taipei Private Methodist Girls' High School
乙女百合	Otome Lily
茹拉耶夫	Zhulayev
托马什 罗西基	Thomas Rosicky
春日市	Kasuga City
摩納哥王儲	Crown Prince of Monaco
木下高彰	Kinoshita Takaaki
柏林	Berlin
南马福建话	South Malaysian Hokkien
智利守安息日者	Chilean Sabbath Keepers
大哥控股公司樂團	Big Brother Holding Company Orchestra
俄羅斯職業足球聯賽	Russian Professional Football League
民主行动党全国主席	National Chairman of the Democratic Action Party
國際關係學	International Relations
武嶺	Wuling
墨西哥獨立戰爭	Mexican War of Independence
瑪麗 博亨	Mary Bohen
国民议会 匈牙利	National Assembly Hungary
杰米 柯普	Jamie Kopp
哥廷根大學	University of Göttingen
滿天花雨擲金針	The sky is full of flowers and rain, throwing gold needles
青春紀行	youth travel
麥可 庫倫	Michael Cullen
列昂尼德 库奇马	Leonid Kuchma
阿里 塔利普 厄兹代米尔	Ali Talip Ozdemir
偏遠地區社會發展託管地	Social development trustee in remote areas
.ba	.ba
古来	ancient
none m唱片公司	none m record label
富士五湖	Fuji Five Lakes
李红军	Li Hongjun
jiskra třeboň	jiskra třeboň
李朝 越南	Li Chao Vietnam
李子雄	Li Zixiong
亞力安傳說	Aryan legend
双恋	double love
大鰐町	O alligator Town
魔法	magic
章亞若	Zhang Yaruo
美军	US military
佛罗里达州行政区划	Administrative divisions of Florida
放克核	funk core
犯罪小說	crime fiction
明尼蘇達州金地鼠	Minnesota golden gopher
基里尔 弗拉基米洛维奇	Kirill Vladimirovich
馬賽曲	the marsaillese
雅尼斯 瓦鲁法克斯	Yannis Varoufax
贝特晶格	Bethel lattice
芬蘭 伏爾加分支	Finland Volga branch
亚历山大 斯特凡松	Alexander Stefansson
瑞士国民院	swiss national house
路德維希 維根斯坦	Ludwig Wittgenstein
林欽榮	Lin Qinrong
首府	capital
約翰 康寧	John Corning
布拉格波希米亚足球俱乐部	prague bohemia football club
利兰 斯坦福	Leland Stanford
李文獻	Li Wenxian
加泰罗尼亚联队	Catalonia United
廣瀨周	Hirose Zhou
方块壮字	Square Zhuangzi
阿基利 佩雷蒂	Achilles Peretti
麦纳麦	Manama
雅克 夏尔 杜邦 德厄尔	Jacques Charles Dupont D'Her
魔兽世界	World of Warcraft
稅金黨	tax party
伊万 斯捷潘诺维奇 西拉耶夫	Ivan Stepanovich Silayev
世新大學	Shih Hsin University
中澤聡太	Nakazawa Yuta
朴施厚	Park Sihoo
捷豹	Jaguar
特莱扬 伯塞斯库	Treyan Basescu
林青霞	Brigitte Lin
西里西亚省	Silesia Province
中澤祥次郎	Nakazawa Shojiro
济南市	Jinan City
約翰 柯川	John Coltrane
艾堃	Ai Kun
冈山县旗	Flag of Okayama Prefecture
英皇電影	Emperor Films
比摩治	Moji
巴爾幹足球會	balkan football club
崔殿国	Cui Dianguo
尼姆奧林匹克	Nimes Olympiad
安得拉邦	Andhra Pradesh
核戰略司令部	nuclear strategic command
伊朗专家会议	iranian expert meeting
康拉德 阿登纳	Conrad Adenauer
多世界詮釋	Multi-World Interpretation
国会	Congress
偽滿皇宮博物院	Puppet Manchurian Palace Museum
弗朗索瓦 密特朗	Francois Mitterrand
洛里昂	Lorient
东映动画	Toei Animation
斯波義重	Spo Yizhong
潘玲玲	Pan Lingling
青衣東北公園	Tsing Yi Northeast Park
埃及语	Egyptian
漢德洛瓦	Handlova
鄧健泓	Deng Jianhong
榴岡站	Lugang Station
河北各地级市地区生产总值列表	List of gross regional product of all cities in Hebei
