ロートン チルズ	Lawton Chills
マイク エンジ	mike engine
エンゲルベルト フンパーディンク 歌手	Engelbert Humperdinck Singer
シュチェチン	Szczecin
ヴェネツィア共和国	Venetian Republic
上村千一郎	Senichiro Uemura
フィンマルク県	Finnmark
アリ マフディ ムハンマド	Ali Mahdi Muhammad
リンダ マッカートニー	Linda McCartney
ンゴニ族	Ngoni tribe
ガイ ガブリエルソン	Guy Gabrielson
チャールズタウン ロードアイランド州	Charlestown Rhode Island
ジャレッド マクエイカーン	Jared McAikahn
浦野烋興	Hiroyuki Urano
フジパシフィックミュージック	Fuji Pacific Music
架空電車線方式	Overhead train line system
スティルウォーター ミネソタ州	Stillwater Minnesota
トム ウェイツ	Tom Waits
民族音楽	folk music
クライヴ グリフィン	Clive Griffin
建設省	Ministry of Construction
トービンのq理論	Tobin's q theory
アメリカ合衆国国務次官 政治担当	United States Under Secretary of State for Political Affairs
ファイナルファンタジーvii	final fantasy vii
第二次日韓協約	Second Japan-Korea Agreement
グリニッジ男爵	baron greenwich
豊崎愛生	Aki Toyosaki
桂川甫周	Katsuragawa Hoshu
仙台管区気象台	Sendai District Meteorological Observatory
カザフスタンの大統領	president of kazakhstan
ロバート クイン マサチューセッツ州の政治家	Robert Quinn Massachusetts politician
ウィスコンシン フライヤーズ	Wisconsin Flyers
沼田藩	Numata clan
ヨルダン王の一覧	List of Kings of Jordan
リチャード テイラー 将軍	Richard Taylor General
太陽の塔	tower of the sun
立憲民主連合	Constitutional Democratic Union
丸山智己	Tomomi Maruyama
ファイル flag persia svg	File flag persia svg
徳島県旗	Tokushima prefecture flag
ガブリエル コスタ	Gabriel Costa
董佳林	Dong Chia Lin
フライ オットー	Fly Otto
イギリス文学者	British literary scholar
福田康夫	Yasuo Fukuda
スピットファイア レコード	spitfire record
東芝堀川町サッカー部	Toshiba Horikawa Town Soccer Club
ヒューファノ郡 コロラド州	Huefano County Colorado
fcポルト	fc porto
フェロル	Ferrol
フラム ブロードウェイ駅	Fulham Broadway Station
マルティン ブーバー	Martin Buber
カウフマン スタジアム	Kauffman Stadium
上座部仏教	Theravada Buddhism
ホルヘ メレ	Jorge Mele
ギャヴィン ロスデイル	Gavin Rossdale
ダイアモンド ユカイ	Diamond Yukai
国会 バングラデシュ	parliament bangladesh
バヤンカラ山脈	bayankara mountains
ヴィヴェーカーナンダ	Vivekananda
チップ ロビンソン	chip robinson
ポテイトーズ	Potatoes
三土忠造	Chuzo Mitsuchi
ウォルター ローリー	Walter Raleigh
スターゲイト プロダクションチーム	stargate production team
タイン アンド ウィア	Tyne and Wear
リュース 歌手	lewis singer
サテリコン バンド	satericon band
ドリーム シアター	Dream Theater
バズ オルドリン	Buzz Aldrin
ナンシー	Nancy
渡辺美智雄	Michio Watanabe
鷹司繋子	Takatsukasa Tsunako
ガロ レート語	Gallolate
サーピィ郡 ネブラスカ州	Sarpy County Nebraska
古荘幹郎	Furusou Mikio
ディエゴ オマル ロペス セントゥリオン	Diego Omar Lopez Centurion
リトル リチャード	Little Richard
浜本祐介	Yuusuke Hamamoto
ドント ストップ ファイヴ セカンズ オブ サマーの曲	Don't Stop Five Seconds of Summer Songs
天然秋田杉	Natural Akita cedar
none ディン ジエム	none Dinh Diem
アドヴァンス オーストラリア フェア	Advance Australia Fair
ラムトン郡	Lambton County
渡辺和紀	Kazunori Watanabe
マンディンカ語	Mandinka
裾野市	Susono City
ジョン ハミルトン ゴードン 初代アバディーン テメイア侯爵	John Hamilton Gordon 1st Marquess of Aberdeen Temeia
ドント パニック	don't panic
総務委員会	General Affairs Committee
ダグ ハマーショルド	Doug Hammarskjold
ブリュノ マッソ	Bruno Massot
ニーショーピング	Knee Köping
アプリーリア	Aprilia
イブラヒマ トラオレ	Ibrahima Traoré
筒井信隆	Nobutaka Tsutsui
郡山市	Koriyama City
セロニアス モンク	Thelonious Monk
アマチュアレスリング	amateur wrestling
ケニー ウォーカー	kenny walker
サラ ブキャナン プレストン	Sarah Buchanan Preston
アラスカ州知事	Governor of Alaska
ウェルズリー大学	Wellesley College
モレリア	Morelia
自由連合 政党	liberal union political party
アレクサンドリア	Alexandria
夢はひとつだけ	only one dream
シラカンバ	birch
カステルヴェッキオ カルヴィージオ	Castelvecchio Calvisio
カーボン郡 ペンシルベニア州	carbon county pennsylvania
カルマル同盟	Kalmar Alliance
ヨハネス ブラスコヴィッツ	Johannes Blaskowitz
ルドルフ エーザー	rudolf aeser
フェイス ノー モア	face no more
pケルト語	Celtic
ヨーク郡 ペンシルベニア州	York County Pennsylvania
エドヴァルド ベネシュ	Edvard Benes
藤原順子	Junko Fujiwara
徳寿宮	Deoksugung Palace
州立大学	state university
叙爵	conferring a peerage
エセル ルーズベルト ダービー	Ethel Roosevelt Derby
ハンズ ハーマン ホップ	hans herman hop
ボロフスク	Borovsk
ウクライナ系イギリス人	British of Ukrainian descent
ラッサナ ディアッラ	Lassana Diarra
クリス ティアーニー	Chris Tierney
顔面動脈	facial artery
エメリー郡 ユタ州	Emery County Utah
ヘンリー キルボーン	Henry Kilbourne
トーキング スティック リゾート アリーナ	Talking Stick Resort Arena
高貴な故国 美しき旗	A noble homeland, a beautiful flag
ミルトン オボテ	Milton Obote
村松潤	Jun Muramatsu
スティーブ バルマー	Steve Ballmer
ダウ ハフマン	Dow Huffman
バーリー郡 ノースダコタ州	Burley County North Dakota
none レコーディング at nhk cr studio	none recording at nhk cr studio
サッカーイングランド代表	england soccer team
ジェームズ グラハム 代准男爵	James Graham 1st Baronet
メリオネス伯爵	Earl of Meriones
ジョゼフ カビラ	Joseph Kabila
園祥子	Sachiko Sono
ウクレレ	ukulele
ビヨンセ	beyonce
堺県	Sakai Prefecture
ギャレス エバンス	Gareth Evans
ジェームズ ルーズベルト	james roosevelt
ウィム ドイセンベルク	Wim Duisenberg
トリノ県	Province of Turin
イフ ウォールズ クッド トーク	If Walls Could Talk
サウス ウェスタン本線	South Western Main Line
金円券	gold note
クリントン タウンシップ	Clinton Township
血界戦線	Blood Blockade Battlefront
従二位	Junior Second Rank
春日井市	Kasugai City
cbcアゼルバイジャン	cbc azerbaijan
キャンベラ	Canberra
久松真一	Shinichi Hisamatsu
シャルレーヌ ギニャール	Charlene Guignard
マイケル ローデンバーグ	Michael Rodenberg
ヘンリー シンジョン 初代ボリングブルック子爵	Henry Singhon 1st Viscount Bolingbroke
三日市藩	Mikkaichi clan
ソビエト連邦軍	soviet army
アンネ ゾフィー フォン オッター	Anne Sophie von Otter
スズラン	Lily of the valley
リエーティ県	Rieti Province
グレート東郷	Great Togo
相互作用	Interaction
フィクション レコード	fiction record
パハンfa	pahang fa
オットー バイエルン王	Otto King of Bavaria
絳郡	Ito-gun
新田一郎 ミュージシャン	Ichiro Nitta Musician
夢のチカラ	dream power
エンジェル ウィッチ	angel witch
仲井戸麗市	Reichi Nakaido
オトクル ハサン	Otkul Hasan
ブラチスラヴァ	Bratislava
ウェリントン ウィルディ ムニス ドス サントス	Wellington Wilde Muniz dos Santos
ヘンドリック ボンマン	Hendrik Bommann
雲南省	Yunnan
何俊仁	He Junren
サン シール レコール	Saint Seal L'Ecole
はえ座アルファ星	Alpha Scorpio
レッドブル レーシング	red bull racing
オハイオ州最高裁判所首席裁判官	Ohio Supreme Court Chief Justice
マイク エドワーズ ミュージシャン	mike edwards musician
nhk情報ネットワーク	nhk information network
ジョバニ ドス サントス	Giovanni Dos Santos
地域主義	regionalism
イッタロ サッカー選手	ittalo soccer player
殷恵康	Yin Hui Kang
none ファーレン長崎	none faren nagasaki
ストリートファイター	Street Fighter
国税庁	National Tax Agency
ヴァーツラフ ハヴェル	Vaclav Havel
柏木ひなた	Hinata Kashiwagi
セバスティアン ローデ	Sebastian Rohde
ランディ ジャクソン	randy jackson
アンブローズ バーンサイド	ambrose burnside
国民教育省	Ministry of National Education
桜庭ななみ	Nanami Sakuraba
シルバースプリング メリーランド州	silver spring maryland
アラス大学	Arras University
スティーヴ ビコ	Steve Biko
自然法	natural law
スポーツカー世界選手権	sports car world championship
ベーリング海峡	Bering Strait
犬童一心	Inudo Isshin
ブレイズ 競走馬	blaze racehorse
アベル カバイェロ	Abel Caballero
中央フィリピン諸語	Central Filipino languages
西平壌駅	West Pyongyang Station
野村盛秀	Morihide Nomura
アレクサンダー オストロフスキー	Alexander Ostrovsky
トヨタ コルサ	toyota corsa
アラン プロスト	Alain Prost
グッチ メイン	gucci main
none ドライバーズチャンピオンの一覧	none List of Drivers' Champions
ロバート キングストン スコット	Robert Kingston Scott
君主制	Monarchy
シルヴェスター メダル	sylvester medal
タッサ リーガ	Tassa Liga
大島町 富山県	Oshima Town Toyama Prefecture
アヴァンギャルド ミュージック	avant-garde music
ジョン コーザイン	John Corzine
講談社コミックス	Kodansha Comics
指揮者	Conductor
コミューン スウェーデン	commune sweden
スターティング オーヴァー	starting over
公理的集合論	axiomatic set theory
山崎燿	You Yamazaki
やまねこ座アルファ星	Alpha Lycoris
トッド郡 サウスダコタ州	Todd County South Dakota
エムウェーブ	M-Wave
鶴保庸介	Yousuke Tsuruho
四日市市	Yokkaichi City
none リベルタ県 ペルー	none Libertad Department Peru
ポール シェアリング	pole sharing
マヘンドラ ビール ビクラム シャハ	Mahendra Beer Bikram Shaha
マナグア	managua
ハンプデン シドニー カレッジ	Hampden Sydney College
ラジオ スターの悲劇 アルバム	radio star tragedy album
ハイトップ	high top
マケドニア共和国	Republic of Macedonia
ビーゴ湾の海戦	Battle of Vigo Bay
シェフィールド大学	University of Sheffield
ヨハネス ベネディクト リスティング	Johannes Benedict Listing
アメリカデイゴ	american deigo
キンダーフック アカデミー	Kinderhook Academy
ボブ ディランのグレイテスト ヒット	Bob Dylan's Greatest Hits
ベルント シュスター	Bernd Schuster
オデッサ	Odessa
ウマルコート城	Umarkot Castle
韓悳洙	Han Byung Soo
ジョゼフ リスター	Joseph Lister
曽俊華	Zeng Junhua
ヨンカーズ	Yonkers
レズワン アタン	Reswan Atan
エルンスト アウグスト フォン ハノーファー	Ernst August von Hannover
チャールズ カニング	Charles Canning
コミックフラッパー	comic flapper
テリー ライリー	terry riley
エリアス ブーディノット	Elias Boudinot
.sg	.sg
エピソード シックス	episode six
古冶区	Guya District
ジョナサン エドワーズ 神学者	Jonathan Edwards Theologian
汎ヨーロッパ ピクニック	Pan-European Picnic
ジョン アルバート ネブル	John Albert Nebble
ルーク エヴィン	Luke Evin
ピスカタキス郡 メイン州	Piscatakis County Maine
ファイナルファンタジーxii	final fantasy xii
いとうのいぢ	Noizi Ito
チェコ	Czech Republic
播戸竜二	Ryuji Bando
リチャード ウィルソン ライリー	Richard Wilson Riley
アンドレア ザンキ	Andrea Zanchi
とよた瑣織	toyota woven fabric
ジョージ ミッチェル	George Mitchell
宮地正介	Shosuke Miyaji
ウォルター フランクリン ジョージ	Walter Franklin George
クンマー理論	Kummer theory
琉球語	Ryukyuan language
広瀬修子	Shuko Hirose
コパ アメリカ センテナリオ	Copa America Centenario
マイク ウィーリク	Mike Willik
フランシスコ アルセ	Francisco Arce
リビア国民評議会	Libyan National Council
任永信	Shin Himanaga
マックス マイヤー	max meyer
コンチョ郡 テキサス州	Concho County Texas
堺市役所	Sakai City Hall
ソポト	Sopot
none フー	none foo
新日本橋駅	Shinnihonbashi Station
法学校	law school
北部担当大臣	Minister for Northern Affairs
ナコーンラーチャシーマーfc	nakhonratchasima fc
利根川	Tone River
グラント郡 ワシントン州	Grant County Washington
デューク大学	Duke University
緑の地平線 ホライゾン	green horizon horizon
フレンズ レッド ツェッペリンの曲	friends led zeppelin songs
ジェームズ ブライス	james bryce
テオドール ゲブレ セラシェ	Theodor Gebre Selassie
中里恒子	Tsuneko Nakazato
カリメーラ	Calimera
アルマトイ	Almaty
みさと公園	Misato Park
ラージャスターン語	Rajasthani
ロバート レッチャー	Robert Letcher
高橋はるみ	Harumi Takahashi
張賢秀	Chang Hyun-soo
曹海清	Cao Haiqing
アイヴァン ドロスク	Ivan Drosk
馮瀟霆	Feng Shui
ベトナム社会主義共和国主席	President of the Socialist Republic of Vietnam
フォノグラム	phonogram
ジョン リー	John Lee
チャールズ ウィリング バード	Charles Willing Bird
ハンク マーヴィン	Hank Marvin
ルイス クラーク ミュージシャン	louis clark musician
ジェームズ ルドルフ ガーフィールド	james rudolph garfield
ジョアン カプデビラ	Joan Capdevilla
クラブ 競走馬	club racehorse
上原拓郎	Takuro Uehara
鄭凱木	Jeong Kaiki
オショッボ	Oshobo
エマニュエル ベルジック	Emmanuel Belgic
ゲディミナス カズラウスカス	Gediminas Kazlauskas
モニュメント レコード	monument record
内乱の一世紀	A century of civil war
レジオン オブ メリット	Legion of Merit
ルイーズ アーガイル公爵夫人	Louise Duchess of Argyle
レスリー ブッシュ	leslie bush
none フェイム	none fame
マルバーンヒルの戦い	Battle of Malvern Hill
バグマティ県	Bagmati District
高野育郎	Ikuro Takano
スクリーム ネクスト ジェネレーション	scream next generation
マンクス ポンド	manx pound
マウリツィオ ドミッツィ	Maurizio Domizzi
ハンタードン郡 ニュージャージー州	hunterdon county new jersey
オランダ総督	Governor-General of the Netherlands
積分方程式	integral equation
ウィリアム クランチ	William Crunch
曾我祐準	Yusuke Soga
ビルマ族	burmese
檜山振興局	Hiyama Promotion Bureau
ハンガリー語	Hungarian
ウィルソン ピットーニ	Wilson Pittoni
マセル	Maseru
忌野清志郎	Kiyoshiro Imawano
アレクセイ ルイコフ	Alexei Rykov
ドナルド フェイゲン	Donald Fagen
ジョー クラウン	Joe Crown
サウジアラビアの国王一覧	List of Kings of Saudi Arabia
カタホウラ郡 ルイジアナ州	Katahoula County Louisiana
四ツ谷駅	Yotsuya Station
古賀篤	Atsushi Koga
ターミネーター	terminator
国民民主党 エジプト	National Democratic Party Egypt
ノルマンディー	Normandy
エスパース レオポルド	Espers Leopold
キール	keel
none ジェット エイジ オブ トゥモロー	none jet age of tomorrow
コンスタンチン パヴロヴィチ	Konstantin Pavlovich
西マレー ポリネシア語群	West Malay Polynesian
セリエa サッカー	serie a football
文化勲章	Order of Culture
マルグリット ヴァロワ	Marguerite Valois
レット イット ビー ネイキッド	let it be naked
クライスト	kleist
宮迫博之	Hiroyuki Miyasako
ベルベル語派	Berber language
レイア オーガナ	Leia Organa
コンゴ共和国	Republic of the Congo
ノヴァーラ県	Novara Province
ボブ マーリー	bob marley
ファンクロック	fun rock
ライムストーン郡 テキサス州	limestone county texas
アール ポメロイ	Earl Pomeroy
エジミウソン ドス サントス シルバ	Edmilson dos Santos Silva
上原慎也	Shinya Uehara
本田技研工業	Honda Motor Co., Ltd.
ミシェル フーコー	Michel Foucault
異時点間capm	Intertemporal capm
軟骨魚綱	cartilaginous fish
スティールパン	steel pan
ロベルト ヒルバート	Robert Hilbert
カステロ ブランコ県	Province of Castelo Branco
ハンブル パイ	humble pie
阿城区	Ajo Ward
豊臣氏	Toyotomi clan
ライヴ アット 武道館	Live at Budokan
本多忠朝	Honda Tadatomo
大川市	Okawa City
玉田県	Tamada Prefecture
普仏戦争	Franco-Prussian War
テリー ボジオ	Terry Bozzio
及川古志郎	Koshiro Oikawa
ロバート ガードナー	Robert Gardner
安倍晋三	Shinzo Abe
ボブ ウェストン	Bob Weston
改革フォーラム	reform forum
クレールフォンテーヌ国立研究所	Clairefontaine National Laboratory
パトリク パロル	Patrick Parol
ウスターシャー	Worcestershire
ヘルマン ゲーリング	hermann goering
ソニー ミュージックアーティスツ	sony music artists
.gq	.gq
アメリカ合衆国西部	Western United States
ポール クルーグマン	Paul Krugman
サンタ マリーア カープア ヴェーテレ	Santa Maria Capua Vetere
ヒャルマル シャハト	Hjalmar Schacht
シュヴァーベン	Swabia
アキリーノ ヒメネス	Aquilino Jimenez
ハナカツミ	Hanakatsumi
ルイス ポンズ	Louis Pons
アンブリメーション	Amblimation
アレン オルソン	Allen Olson
タイムラズ マムスロフ	Time Laz Mamslov
河合英治	Eiji Kawai
今日の誓い	oath of the day
チェロ	cello
ハファエル バストス	Rafael Bastos
アルーナス クンドロタス	Arunas Kundrotas
在ユーゴスラビアアメリカ合衆国特命全権大使	Ambassador Extraordinary and Plenipotentiary of the United States to Yugoslavia
サッカーウェールズ代表	Wales national football team
ジョージ スウィフト	George Swift
長石多可男	Takao Nagaishi
徳川家茂	Iemochi Tokugawa
世界一happyな女の子	the happiest girl in the world
金巻兼一	Kanemaki Kenichi
プリンスジョージズ郡 メリーランド州	Prince George's County Maryland
アヴレサック	Avressac
ジェフ フレーク	Jeff Flake
烏龍舎	Oolong House
エルンスト アルプレヒト	Ernst Albrecht
サムター要塞の戦い	Battle of Fort Sumter
ティム ボガート	Tim Bogart
戦略航空軍団	Strategic Air Command
日常言語学派	everyday language school
はちひめ	Hachihime
オールマン ジョイス	Allman Joyce
中間子	meson
杜家豪	Du Jiego
ダニエル スヴェンソン	Daniel Svensson
クリストフ マチニスキ	Christoph Maciniski
ハリー ハインズ ウッドリング	harry hindes wood ring
ハローゲート タウンfc	hellogate town fc
ヤマハミュージックエンタテインメントホールディングス	Yamaha Music Entertainment Holdings
バーニー ウォーレル	Bernie Worrell
レッド ツェッペリン iii	led zeppelin iii
バーンウェル郡 サウスカロライナ州	barnwell county south carolina
ハリー オーガスタス ガーフィールド	Harry Augustus Garfield
トーマス ギル	Thomas Gill
ポルシェ ハイブリッド	porsche hybrid
エヴェルトン ジョゼ アルメイダ サントス	Everton Jose Almeida Santos
マリーア ジョゼ デル ベルジョ	Maria Jose Del Bellgio
山下徳夫	Norio Yamashita
パブリック エネミー no	public enemy no
ロジャース ホーンスビー	Rogers Hornsby
ジョー マケルダリー	Joe McEldary
モナコ	Monaco
ウィリアム クロウフォード	William Crawford
石井謙伍	Kengo Ishii
スネーク川	snake river
ジョゼ マリア ヌヴェス	Jose Maria Nuves
ウルリカ エレオノーラ アヴ ダンマルク	Ulrika Eleonora Av Danmark
デポルティーボ ララ	Deportivo Lara
神戸大学	Kobe University
モンテローニ ディ レッチェ	Monteroni di Lecce
ホラガイ	conch shell
エレブルー	ele blue
ダグ クリスティ	Doug Christie
トレヴァー ホーン	trevor horn
ハイデラバード	hyderabad
チャフィー郡 コロラド州	Chaffee County Colorado
太田道灌	Ota Dokan
アレクサンデル セリガ	Alexander Seriga
アンドロメダー	Andromeda
ホアキン アルムニア	Joaquin Almunia
国璽尚書	national seal
ジェイソン オレンジ	Jason Orange
西凜太朗	Rintaro Nishi
ペンッティ アラヤルヴィ	Pentti Arajärvi
中国共産主義青年団	Chinese Communist Youth League
シャーロット アン モンタギュー ダグラス スコット	Charlotte Ann Montague Douglas Scott
ヌルミヤルヴィ	Nurmiyarvi
フレンドシップ	Friendship
マイアミ	Miami
クレイ郡 テネシー州	Clay County Tennessee
.me	.me
ブーヒュースレーン地方	Booghuslane region
崔根植	Choi Geunsuk
新時代	new era
スコットランド ゲール語	Scottish Gaelic
大木喬任	Takato Ohki
フィンランドの副首相	Deputy Prime Minister of Finland
スコーピオンズ	scorpions
ズールー語	Zulu
映画産業	film industry
ワディ エル ホル文字と原シナイ文字	Wadi El Hor Script and Proto-Sinai Script
デヴィッド プライオア	David Prior
ヤズー	Yazoo
ランスティング グリーンランド	county greenland
永遠プレッシャー	eternal pressure
ジョン ボーモント	John Beaumont
ヴァンデ県	Vendée
ガブリエラ クボヴァ	Gabriela Kubova
ウバメカシ	Ubamekashi
ハッキャリ	Hakkari
太田恵介	Keisuke Ohta
フランチェスコ ザンパーノ	Francesco Zampano
アル アルハノフ	Al Arkhanov
民主党全国大会	Democratic National Convention
栗東トレーニングセンター	Ritto Training Center
サモス ミュージシャン	samos musician
ネパール制憲議会	Nepal Constituent Assembly
潮州語	Teochew
ゲオルギオス ギリシャ王子	Georgios Prince of Greece
シンフォニーホール	symphony hall
ワナッチー ワシントン州	Wenatchee Washington
徐訂晋	gradual revision
ペイズリー パーク レコード	Paisley Park Records
筑紫野市	Chikushino City
ヨアン テュラム ユリアン	Yoan Thuram Julian
在オスマン帝国アメリカ合衆国特命全権大使	Ambassador Extraordinary and Plenipotentiary of the United States to the Ottoman Empire
nhkエデュケーショナル	nhk educational
エマックフォーおよびエノタチョポ クリークの戦い	Battle of Emacfour and Enotachopo Creeks
トゥナイト アルバム	tonight album
ダロン マラキアン	Daron Malakian
鈴懸の木の道で 君の微笑みを夢に見る と言ってしまったら僕たちの関係はどう変わってしまうのか 僕なりに何日か考えた上でのやや気恥ずかしい結論のようなもの	It's like a slightly embarrassing conclusion after thinking for a few days how our relationship would change if I said, "I dream of your smile on the road of the bell-shaped tree."
アハマド ハルファーン	Ahmad Halfan
パウルス ローマ教皇	Paulus Pope
.mn	.mn
タイニー テンパー	Tiny Temper
カリフォルニア州	california
朴智元	Park Ji-won
レスター ヤング	Lester Young
アンドレア コアー	Andrea Core
日産 グロリア	Nissan Gloria
マクトゥーム ビン ラーシド アール マクトゥーム	Maktoum Bin Rashid Al Maktoum
ホマートン	Homerton
元永慶太郎	Keitaro Motonaga
ロバート マクナマラ	Robert McNamara
李仁済	Lee In Je
キャロル郡 ミシシッピ州	Carroll County Mississippi
根岸隆	Takashi Negishi
粟屋敏信	Toshinobu Awaya
山本一太	Ichita Yamamoto
文部省	Ministry of Education
邦和スポーツランド	Kuniwa Sports Land
プロミス ディス	Promise Dis
エリトリア	Eritrea
東近江市	Higashiomi City
黒田清 伯爵	Earl Kiyoshi Kuroda
浦項スティールヤード	Pohang Steelyard
光受容体	photoreceptor
小泉歓晃	Yoshiaki Koizumi
チューリング パターン	Turing pattern
ジェームズ ウィルキンソン	James Wilkinson
ウェイク郡 ノースカロライナ州	Wake County North Carolina
ラザフォード郡 ノースカロライナ州	Rutherford County North Carolina
中村敦	Atsushi Nakamura
エセックス郡	Essex County
オシャワ	Oshawa
横浜ランドマークタワー	Yokohama Landmark Tower
張富士夫	Fujio Cho
アーニー ハーウェル	Ernie Harwell
アメリー ドルレアン	Amelie Dorleans
イーサ ムスタファ	Ether Mustafa
穴穂部皇子	Prince Anahobe
メルボルン シティfc	melbourne city fc
凸解析	convex analysis
ソリューション	solution
余浩邦	Yu Hobang
ホワイトハウス報道官	white house press secretary
外務委員会	Foreign Affairs Committee
エセックス郡 マサチューセッツ州	Essex County Massachusetts
エイモン ギルモア	Eamon Gilmore
呂偉超	Lu Weichao
正清院	Shoseiin Temple
ブライアン バーク	Brian Burke
アハマド アル フライディー	ahmad al huraidi
ネルソン ピケ	Nelson Piquet
豊田悌助	Teisuke Toyoda
ショーン レノン	Sean Lennon
ラスベガス	Las Vegas
武家	samurai
ローラン ファビウス内閣	Laurent Fabius Cabinet
所与の神話	given myth
ディミタール ランゲロフ	Dimitar Langerov
童謡	nursery rhyme
fcgビル	fcg building
ミゲル マドリ ウルタード	Miguel Madri Hurtado
アレクサ インターネット	alexa internet
クレイロン	Claylon
大館市	Odate
デイブ ケース ba	dave case ba
ニューフレンズ	new friends
ステファン アダムス	Stephen Adams
ファイル hitachiota city hall jpg	File hitachiota city hall jpg
山と毒蛇	mountain and viper
邵镤亮	Shao Changliang
バンクーバー ホワイトキャップス	vancouver whitecaps
福島県	Fukushima Prefecture
.cd	.cd
夜の踊り子	dancer of the night
リック セラット	rick serrat
小渕光平 代目	Kouhei Obuchi
ジャンルカ ニッコ	Gianluca Nikko
和銅	Japanese copper
ジェイコブ ライスラー	Jacob Leisler
佐藤寛子 首相夫人	Hiroko Sato Prime Minister's wife
オーガスタス ウィルソン	Augustus Wilson
テイク ザット パーティ	take that party
ラトビヤス ピルマー リーガ	Latvias Pilmer Liga
none 師団 日本軍	none division japanese army
リー郡 ニューメキシコ州	Lee County New Mexico
ヒュー コーンウェル	Hugh Cornwell
高見澤將林	Shorin Takamizawa
インターポール バンド	interpol band
アリゾナ カージナルス	Arizona Cardinals
バディ リッチ	buddy rich
セント ジョセフスfrac	st josephs frac
イアン カーマ	Ian Karma
ヴェリジー ヴィラクブレー	Velizy Villacoublay
プロティノス	Plotinus
カール ハプスブルク ロートリンゲン	Carl Habsburg Rothringen
川路利良	Toshiyoshi Kawaji
ジョセフ スティグリッツ	Joseph Stiglitz
札幌市	Sapporo
ビョルン ウルヴァース	Bjorn Ulvaeus
ジェームズ ロバート キーン	james robert keane
ランドマーク アルバム	landmark album
市来乙彦	Otohiko Ichiki
ダイアン ウォーレン	Diane Warren
ダルエスサラーム	dar es salaam
アーサー バルフォア	Arthur Balfour
株式会社	Ltd.
大将	General
ルイス プリエト	Luis Prieto
いるか座	Iruka
トー族	Toe tribe
ラファエル ヴォルフ	Raphael Wolff
ウェールズサッカー協会	wales football association
ゲット ヤー ヤズ アウト	get yer yaz out
ミネソタ ストライカーズ	Minnesota Strikers
エリザベス ボーズ ライアン	Elizabeth Bowes Ryan
ミネラル郡 ネバダ州	Mineral County Nevada
ネバダ州の郡一覧	List of counties in Nevada
虎ノ門ヒルズ	Toranomon Hills
アンドリュー フット	Andrew Foot
プラスキ郡 ミズーリ州	Pulaski County Missouri
短編小説	short story
レアンドロ グリミ	Leandro Grimi
文字多重放送	teletext broadcasting
フリッツ クーン	Fritz Kuhn
荒井正吾	Shogo Arai
内閣府	Cabinet Office
アルベマール公	Duke of Albemarle
トンボロ イタリア	tombolo italy
ランディ ジャクソン プロデューサー	randy jackson producer
シグナリング	signaling
ジョン アンド ヴァンゲリス	John and Vangelis
勲等	Order of Merit
フランク バートレット ウィリス	Frank Bartlett Willis
エントロピー	entropy
adカボフリエンセ	ad cabo friense
帰ってほしいの アルバム	i want you back album
ベオグラード	belgrade
日本バスケットボール協会	Japan Basketball Association
スティリアン ペトロフ	Styrian Petrov
マルティニャーノ レッチェ県	Martinano Province of Lecce
ヘンドリックス郡 インディアナ州	Hendricks County Indiana
ジョサイア バートレット	Josiah Bartlett
ジャミルソン リベラ	Jamilson Rivera
ペイトン ランドルフ	Peyton Randolph
テネシー軍	army of tennessee
リンダ ハミルトン	Linda Hamilton
バーナード バトラー	Bernard Butler
リア ビーゴ	rear vigo
ジム パトナム	Jim Putnam
番組制作会社	Program production company
インドネシア語	Indonesian
赤い城	red castle
スペルクパ シュチパリセ	Superkpa Shtipalise
ジャック ヴィルヌーヴ	Jacques Villeneuve
サザン パシフィック	Southern Pacific
袋井市	Fukuroi City
フォールズ郡 テキサス州	Falls County Texas
ペドロ ソウザ ホルステイン パルメラ公	Pedro Souza Holstein Duke of Palmela
ドローン 音楽	drone music
ザクセン アンハルト州	Saxony-Anhalt
アヴィス王朝	Avis dynasty
サルミーン ハミース	Sarmeen Khamis
ドント ストップ ミー ナウ	don't stop me now
ジム インホフ	Jim Inhof
三菱 シグマ	mitsubishi sigma
ウンターフェーリンク	unterfoe ring
バディ レイジア	buddy rage
コマルカ オウレンセ	Komarca Ourense
ポール ニッツェ	Paul Nitze
ルートヴィヒ ガストン フォン ザクセン コーブルク ウント ゴータ	Ludwig Gaston von Sachsen Coburg und Gotha
エノス トループ	Enostroup
アーロン サムエル オラナレ	Aaron Samuel Oranare
デスペラード	Desperado
マーシャル郡 インディアナ州	marshall county indiana
fiore 観月ありさのアルバム	fiore Arisa Mizuki album
ベナン	Benin
サラトフ州	Saratov Oblast
リック ウィルス	rick wills
サトウカエデ	sugar maple
スタヴロポリ地方	Stavropol Territory
デイヴ ハインマン	Dave Heinman
ベルリン アルバム	berlin album
ニューオーリンズ バッカニアーズ	new orleans buccaneers
アハマド エリヤース	Ahmad Elias
ジム ナスル	Gym Nasr
ユリ 少女時代	yuri girls generation
アーサー ハートマン	arthur hartman
ブラジル時間	brazil time
コリーナ	Collina
オダギリジョー	Joe Odagiri
ジェレミー ポルサン クレメンテ	Jeremy Porsan Clemente
ウェイン郡 ユタ州	Wayne County Utah
none ネプチューンズ	none neptunes
フランシス シュア	Frances Schur
アングル人	angler
ビバリーヒルズ	beverly hills
