ロック (音楽)	rock (music)
ジェイムズ・ガスコイン＝セシル (第4代ソールズベリー侯爵)	James Gascoigne-Cecil, 4th Marquess of Salisbury
グレイソヴリン	Gray Sovereign
ダニエル・パトリック・モイニハン	Daniel Patrick Moynihan
セルゲイ・ショイグ	Sergei Shoigu
高村正彦	Masahiko Takamura
スーパーボウル	super bowl
ブラッド・オン・ザ・ダンス・フロア/ヒストリー・イン・ザ・ミックス	Blood on the Dance Floor/History in the Mix
ドバイ	dubai
チューリッヒ	Zurich
日本統治時代の朝鮮	Korea under Japanese rule
アントニオ・セーニ	Antonio Seni
エドワード・リヴィングストン	Edward Livingston
ブリーダーズ	breeders
長居陸上競技場	Nagai Athletics Stadium
サーハーキュリーズ	Sir Hercules
ラーヨ・バジェカーノ	Rayo Vallecano
ファピアノ	Fapiano
テヘラン (競走馬)	Tehran (racehorse)
ヒルズボロ郡 (ニューハンプシャー州)	Hillsboro County, New Hampshire
リッチー・サンボラ	Richie Sambora
ウィーザー	Weezer
リヴァーマン	Riverman
アル・ホルバート	Al Holbert
河南省	Henan
デス (バンド)	death (band)
オアシスドリーム	oasis dream
アルバート・ギャラティン	Albert Gallatin
カロ	caro
インリアリティ	in reality
フィリップ (ベルギー王)	Philip (King of Belgium)
ドミニク・ド・ビルパン	Dominique de Villepin
smalltalk	smalltalk
パット・ハリスン	Pat Harrison
ジュゼッペ・サーラガト	Giuseppe Sarragat
ウェンデル・h・フォード	Wendell H. Ford
リチャード・カーペンター	Richard Carpenter
内モンゴル自治区	Inner Mongolia Autonomous Region
トッテナム・ホットスパーfc	tottenham hotspur fc
ヘンリー・キッシンジャー	Henry Kissinger
nico touches the walls	nico touches the walls
モービー	Moby
スクリーム3	scream 3
ヴァーツラフ・クラウス	Wenceslas Klaus
ウィリアム・ヘイグ	William Haig
カイ・ハンセン	Kai Hansen
ロバート・f・ケネディ・メモリアル・スタジアム	Robert F. Kennedy Memorial Stadium
ジョージ・ハワード (第6代カーライル伯爵)	George Howard, 6th Earl of Carlisle
ユ・ヨンジン	Yoo Young Jin
ウィッシングウェル	wishing well
田中義一	Yoshikazu Tanaka
サッカーオマーン代表	Oman national football team
テディー・ライリー	Teddy Riley
クレイドル・オブ・フィルス	Cradle of Filth
スウィート・チャイルド・オブ・マイン	sweet child o mine
エリック・シンガー	Eric Singer
七年戦争	seven years war
セプター (競走馬)	Scepter (racehorse)
ティロン・ルー	Tyrone Lu
ウィラード・ヴァン・オーマン・クワイン	willard van orman quine
モナコ	Monaco
ペルシアン・ガルフ・プロリーグ	Persian Gulf Pro League
サッカーイラン代表	football iran national team
モンジュー	Montjou
キプロス	Cyprus
ペティンゴ	Petingo
ヨハネスブルグ	Johannesburg
リチャード・メンター・ジョンソン	Richard Mentor Johnson
エラス・ヴェローナfc	Hellas verona fc
イギリス領セイロン	british ceylon
メリーランド方面作戦	Maryland Campaign
アンスラックス	Anthrax
ベーリング (競走馬)	Bering (racehorse)
マスロック	math rock
ブラインド・ガーディアン	blind guardian
サマセット	Somerset
ジェームズ・トービン	James Tobin
ザ・ゲーム	The Game
ミレニアム・スタジアム	Millennium Stadium
ハノーバー郡 (バージニア州)	Hanover County, Virginia
東名高速道路	Tomei Expressway
クリスティアン・アーチボルド・ハーター	Christian Archibald Herter
アントニオ・グラムシ	Antonio Gramsci
アメリカ合衆国のファーストレディ	First Lady of the United States
ゲム・アーチャー	Gem Archer
トリノfc	torino fc
石橋湛山	Tanzan Ishibashi
チャールズ・コーンウォリス	Charles Cornwallis
マイケル・ブレッカー	Michael Brecker
システム・オブ・ア・ダウン	system of a down
エフード・バラック	Ehud Barrack
オイゲン・フォン・ベーム＝バヴェルク	Eugen von Böhm-Bawerk
ユルゲン・ハーバーマス	juergen habermas
サクラメント・キングス	sacramento kings
ニンテンドーds	nintendo ds
ロキシー・ミュージック	roxy music
エルジャ語	Erzya
ネヴァーモア	Nevermore
シェフィールド・ウェンズデイfc	sheffield wednesday fc
キコ・ルーレイロ	Kiko Loureiro
フリーマン・フリーマン＝トーマス (初代ウィリングドン侯爵)	Freeman Freeman-Thomas, 1st Marquess of Willingdon
アシュトン・カーター	Ashton Carter
ザクセン＝コーブルク＝コハーリ家	House of Saxe-Coburg-Kohari
ワールドシリーズ	world series
レオポルド3世 (ベルギー王)	Leopold III (King of Belgium)
ザ・ネプチューンズ	The Neptunes
リラプス・レコード	relapse records
ジョージ・ゴッシェン (初代ゴッシェン子爵)	George Goschen, 1st Viscount Goschen
ウィリアム・シェイクスピア	William Shakespeare
ゲオルギオス・アンドレアス・パパンドレウ	Georgios Andreas Papandreou
ハノイ	Hanoi
フルトン郡 (ジョージア州)	Fulton County, Georgia
シャマルダル	Shamaldar
岩手県	Iwate Prefecture
ジェームズ・グラハム (第2代准男爵)	James Graham, 2nd Baronet
カタール・スターズリーグ	Qatar Stars League
防衛大臣	Minister of Defense
バルト帝国	baltic empire
ファルブラヴ	Falbrav
カール・フォン・リンネ	Carl von Linnaeus
アルバート (ザクセン＝コーブルク＝ゴータ公子)	Albert (Prince of Saxe-Coburg-Gotha)
浮雲 (ギタリスト)	Ukigumo (guitarist)
サッカーベラルーシ代表	Belarus national football team
デンバー・ナゲッツ	Denver Nuggets
ディープインパクト (競走馬)	Deep Impact (racehorse)
アルフレッド・ノース・ホワイトヘッド	Alfred North Whitehead
サクラメント (カリフォルニア州)	Sacramento (California)
リーガ1	Liga 1
リーバイス・スタジアム	Levi's Stadium
ヒューバート・h・ハンフリー・メトロドーム	Hubert H. Humphrey Metrodome
ヘルムート・コール	Helmut Cole
ケープクロス	cape cloth
ピエトロ・バドリオ	Pietro Badoglio
カタール	Qatar
ベルリン・オリンピアシュタディオン	Berlin Olympiastadion
アラン・グリーンスパン	Alan Greenspan
スタッド・レンヌ	Stade Rennes
ハイフライヤー	high flyer
hln	hln
北中米カリブ海サッカー連盟	North and Central America and the Caribbean Football Federation
アメリカ合衆国最高裁判所長官	Chief Justice of the United States Supreme Court
ヘンリー・アディントン (初代シドマス子爵)	Henry Addington, 1st Viscount Sidmouth
パントレセレブル	Pantre Celebrities
ミシシッピ川	Mississippi River
アレック・ダグラス＝ヒューム	Alec Douglas-Hulme
ポール・ギルバート	Paul Gilbert
ホームステッド・レコード	homestead record
ユリ	lily
エフゲニー・プリマコフ	Evgeny Primakov
クロード・レヴィ＝ストロース	Claude Levi-Strauss
ハンナ・アーレント	Hannah Arendt
ニーナ・モーゼル	Nina Mauser
ウィジャボード (競走馬)	Ouija board (racehorse)
マレー・ロスバード	Murray Rothbard
織田哲郎	Tetsuro Oda
マックス・シュティルナー	Max Stirner
ジョン・ポール・ジョーンズ (ミュージシャン)	John Paul Jones (musician)
エドワード・カードウェル (初代カードウェル子爵)	Edward Cardwell, 1st Viscount Cardwell
ヘルイェー	Hellyeah
チャールズ・スペンサー (第3代サンダーランド伯)	Charles Spencer, 3rd Earl of Sunderland
吉田茂	Shigeru Yoshida
三木武夫	Takeo Miki
アイザック・シェルビー	Isaac Shelby
ウィルタ	Wilta
アルバニア語	Albanian
コルドバcf	cordoba cf
ニール・キノック	Neil Kinnock
クイーンズ区	Queens Borough
サッカーサウジアラビア代表	Saudi Arabia national football team
江蘇省	Jiangsu
アーカンソー州	Arkansas
メイヘム	Mayhem
ジェームズ・r・シュレシンジャー	James R. Schlesinger
エレクトロニック	electronic
x86	x86
スコティッシュ・プレミアシップ	Scottish Premiership
レッチェ県	Province of Lecce
ロラン・バルト	Roland Barthes
ダンテ (競走馬)	Dante (racehorse)
シャルル・フーリエ	Charles Fourier
マラガcf	malaga cf
新潟県	Niigata Prefecture
園田直	Sunao Sonoda
セルビア	Serbia
ベンジャミン・フランクリン・バトラー (マサチューセッツ州知事)	Benjamin Franklin Butler (Governor of Massachusetts)
itunes store	itunes store
ポリス (バンド)	police (band)
ジョン・ポープ	John Pope
東京駅	Tokyo Station
アフリカーンス語	Afrikaans
アイザック・スティーブンス	Isaac Stevens
ドネルソン砦の戦い	Battle of Fort Donelson
swift (プログラミング言語)	swift (programming language)
塩川正十郎	Shojuro Shiokawa
ロベルト・ドナドーニ	Robert Donadoni
シャーロット・ホーネッツ	Charlotte Hornets
イワン・ツルゲーネフ	Ivan Turgenev
ジョン・フルシアンテ	John Frusciante
ロッド・スチュワート	rod stewart
アルナルド・フォルラーニ	Arnaldo Forlani
ゲンナジー・パダルカ	Gennady Padalka
indycar	indycar
ポリネシア諸語	Polynesian languages
プエルトリコ	Puerto Rico
スティーヴ・リリーホワイト	Steve Lillywhite
マジェスティックプリンス	Majestic Prince
ハワード・h・ベーカー・ジュニア	Howard H. Baker Jr.
シェリル・クロウ	Sheryl Crow
ヘンリー・a・ウォレス	Henry A. Wallace
ルクセンブルク	Luxembourg
英国放送協会	British Broadcasting Corporation
フレデリク・ルクレルク	Frederic Leclerc
ゴーンウェスト	Gone West
セントポール (ミネソタ州)	Saint Paul (Minnesota)
ヴィサージ	Visage
アレクサンドル・エンベルト	Alexandre Enbert
スコットランド語	Scottish
ドラゴンランド	dragon land
スリップノット	slipknot
ゼーフェナール	Zevenaar
ニルヴァーナ (バンド)	nirvana (band)
フェイリュア	Feyrua
フォックスコン	Foxconn
fcルビン・カザン	fc rubin kazan
スローターハウス	Slaughterhouse
set list〜グレイテストソングス 2006-2007〜	set list ~Greatest Songs 2006-2007~
キング・ファハド国際スタジアム	King Fahd International Stadium
アヴェッリーノ県	Province of Avellino
ヘブライ文字	hebrew letters
佐藤栄作	Eisaku Sato
トニー・ヴィスコンティ	Tony Visconti
オマハ (競走馬)	Omaha (racehorse)
サンノゼ	San Jose
サッカーマレーシア代表	Malaysian national football team
スポルティング・ブラガ	sporting braga
グローリアスソング	glorious song
プレストン・ノースエンドfc	preston north end fc
ローレンス・イーグルバーガー	Lawrence Eagleberger
シンシナティ	Cincinnati
ナパーム・デス	napalm death
ランニング・ワイルド	running wild
マイケル・シェンカー・グループ	michael schenker group
メルヴィンズ	Melvins
ブラックバーン・ローヴァーズfc	blackburn rovers fc
日本維新の会	Japan Restoration Party
acキエーヴォ・ヴェローナ	ac chievo verona
マケドニア共和国	Republic of Macedonia
安倍晋太郎	Shintaro Abe
世界陸上競技選手権大会	World Athletics Championships
ブライアン・ウィルソン	Brian Wilson
ノッティンガム・フォレストfc	nottingham forest fc
ロバート・ブルワー＝リットン (初代リットン伯爵)	Robert Bulwer-Lytton, 1st Earl of Lytton
エスタディオ・ナシオナル (リマ)	Estadio Nacional (Lima)
クイーンズ・パーク・レンジャーズfc	queens park rangers fc
ゴットロープ・フレーゲ	Gottlob Frege
ヘンリー・ハーディング (初代ハーディング子爵)	Henry Harding, 1st Viscount Harding
デイヴィッド・ロイド・ジョンストン	David Lloyd Johnston
イスラエルの首相	prime minister of israel
ゴッド・セイヴ・ザ・クイーン (セックス・ピストルズの曲)	God Save the Queen (Sex Pistols song)
クロスビー、スティルス、ナッシュ&ヤング	Crosby, Stills, Nash & Young
アルサブ	Arsab
ゴルゴロス	Gorgoroth
ハーツクライ	hearts cry
サンアントニオ	San Antonio
バイバイン (文字)	Bybain (letter)
ハノーファー王国	Kingdom of Hanover
第1次キャメロン内閣	1st Cameron Cabinet
シーキングザゴールド	Seeking the Gold
ヴィルヘルム2世 (ドイツ皇帝)	Wilhelm II (German Emperor)
ブハラ語	Bukhara
ジョン・ベイナー	John Boehner
トマス・ペイン	Thomas Payne
ウィリアム・フェッセンデン	William Fessenden
甲本ヒロト	Hiroto Koumoto
ゴリラズ	Gorillaz
ベシクタシュjk	besiktas jk
さいたま市	Saitama City
レッド・ツェッペリン iv	led zeppelin iv
アーヴィング・フィッシャー	Irving Fisher
モーリス・メルロー＝ポンティ	Maurice Merlot-Ponty
ニュージーランド	new zealand
スタテンアイランド	staten island
ジャクソン郡 (ミズーリ州)	Jackson County, Missouri
スクリーモ	screamo
パナシナイコスfc	panathinaikos fc
北京国安足球倶楽部	Beijing Guoan Football Club
リンジー・バッキンガム	lindsey buckingham
ミュンヘン・オリンピアシュタディオン	Munich Olympiastadion
伊東正義	Masayoshi Ito
サウス山の戦い	Battle of South Mountain
ヴォルテール	Voltaire
ミルウォーキー鉄道	Milwaukee Railroad
best & usa	best & usa
イギー・ポップ	iggy pop
ドゥニ・ディドロ	Denis Diderot
アヴィーチー	Avicii
loudness	loudness
アルーマニア語	Aromanian
エスタディオ・アステカ	Estadio Azteca
ソユーズtma-11m	soyuz tma-11m
ジャイアント馬場	Giant Baba
セム語派	Semitic
小坂善太郎	Zentaro Kosaka
ウィリアム・ペティ (第2代シェルバーン伯)	William Petty, 2nd Earl of Shelburne
pfc cskaモスクワ	pfc cska moscow
ナシュワン	Nashwan
コールドハーバーの戦い	Battle of Coldharbour
国民連合党	National Coalition Party
ジェームズ・キャラハン	James Callahan
リチャード・ウェルズリー (初代ウェルズリー侯爵)	Richard Wellesley (1st Marquess Wellesley)
伊澤一葉	Kazuha Izawa
オマール・ブラッドレー	Omar Bradley
best selection 2010	best selection 2010
ジョン・ウォーナー	John Warner
ルイス・マクレーン	Lewis McClane
ルプレヒト・カール大学ハイデルベルク	Ruprecht Karl University Heidelberg
wish you the best	wish you the best
ア・パーフェクト・サークル	A perfect circle
ジョン・ヤング・メイソン	John Young Mason
マルクス・トゥッリウス・キケロ	Marcus Tullius Cicero
ルーファス・アイザックス (初代レディング侯爵)	Rufus Isaacs (1st Marquess of Reading)
ネルソン・マイルズ	Nelson Miles
トーマス・ベアリング (初代ノースブルック伯爵)	Thomas Baring, 1st Earl of Northbrook
javascript	javascript
アーサー・バーンズ	Arthur Burns
メキシコの大統領	president of mexico
ruby	ruby
ローマ帝国	roman empire
ヘンリー・ペラム＝クリントン (第5代ニューカッスル公爵)	Henry Pelham-Clinton, 5th Duke of Newcastle
チャールズ・エヴァンズ・ヒューズ	Charles Evans Hughes
シドニー・ゴドルフィン (初代ゴドルフィン伯)	Sidney Godolphin (1st Earl of Godolphin)
ファイナルファンタジーシリーズ	final fantasy series
カーリアン	Caerian
ブルックリン・ネッツ	brooklyn nets
ウェルカム・トゥ・ザ・ジャングル	welcome to the jungle
ワショー郡 (ネバダ州)	Washoe County, Nevada
ミハウ・カレツキ	Michal Kalecki
ゲオルギー・マレンコフ	Georgy Malenkov
ランドルフ・チャーチル (1849-1895)	Randolph Churchill (1849-1895)
スマイル (チャールズ・チャップリンの曲)	Smile (Charles Chaplin song)
アル・サッド	Al Sadd
ジェームズ・バトラー (第2代オーモンド公)	James Butler (2nd Duke of Ormonde)
フロー・ライダー	flow rider
大平正芳	Masayoshi Ohira
リアム・ギャラガー	Liam Gallagher
microsoft windows xp	microsoft windows xp
ハムダーン・ビン・ラーシド・アール・マクトゥーム	Hamdan bin Rashid Al Maktoum
ダリオ・フランキッティ	Dario Franchitti
ジョージ・グレンヴィル	George Grenville
マリアーノ・ルモール	Mariano Lumor
ジェイムズ・ヘットフィールド	James Hetfield
天皇杯全日本サッカー選手権大会	Emperor's Cup All Japan Football Championship
ジム・モリソン	Jim Morrison
ニキータ・フルシチョフ	Nikita Khrushchev
梵字	Sanskrit characters
ライオネル・ロビンズ	Lionel Robbins
ノーサンプトンシャー	northamptonshire
デビッド・ブラバム	David Brabham
グレッチ	Gretsch
カナダ自由党	Liberal Party of Canada
チリアーコ・デ・ミータ	Chiriaco de Mita
ナパーム・レコード	napalm record
ジ・エッジ	The Edge
カーディフ・シティfc	cardiff city fc
ネパール	Nepal
カヴァレラ・コンスピラシー	Cavalera Conspiracy
ヨハン・ゴットリープ・フィヒテ	Johann Gottlieb Fichte
ジョヴァンニ・スパドリーニ	Giovanni Spadolini
スタッド・ヴェロドローム	Stud Velodrome
ボストン・セルティックス	boston celtics
アイアン・メイデン	iron maiden
バスク語	Basque
マリオ・シェルバ	mario sherva
黒海	Black Sea
スモール・フェイセス	small faces
エルチェcf	elche cf
best〜second session〜	best ~second session~
ドラゴンフォース (バンド)	dragonforce (band)
トルクメン語	Turkmen
ウェスト・ヨークシャー	west yorkshire
ナサニエル・バンクス	Nathaniel Banks
ヘンリー・バサースト (第3代バサースト伯爵)	Henry Bathurst, 3rd Earl of Bathurst
ジョージ・シュルツ	George Schultz
ジョン・ヘイ	John Hay
ヴォイヴォド (バンド)	Voivod (band)
コンスタンディヌーポリ総主教庁	Patriarchate of Constantinople
低ザクセン語	low saxon
ark (アルバム)	ark (album)
スペインの首相	Prime Minister of Spain
国民共和党 (アメリカ)	National Republican Party (USA)
奥保鞏	Okubo
cryengine	cry engine
ペン・セントラル鉄道	Penn Central Railroad
ヘンリー・ジョージ	Henry George
ギャヴィン・ロスデイル	Gavin Rossdale
サンタナ (バンド)	santana (band)
中華人民共和国副主席	Vice President of the People's Republic of China
nkディナモ・ザグレブ	nk Dynamo Zagreb
海江田万里	Banri Kaieda
劉少奇	Liu Shaoqi
アリシーバ	Alisheba
ランベルト・ディーニ	Lamberto Dini
ロバート・トゥルージロ	Robert Trujillo
マイク・マクレディ	Mike McCready
サモス (ミュージシャン)	Samos (musician)
ポーク郡 (フロリダ州)	Polk County, Florida
ビル・ネルソン	Bill Nelson
ビリー・ジーン	Billie Jean
サウリ・ニーニスト	Sauri Niinist
コーン (バンド)	cone (band)
ジェイソン・ニューステッド	Jason Newsted
ノリッジ・シティfc	norwich city fc
ウェストオーストラリアン (競走馬)	West Australian (racehorse)
ロングアイランド	long island
セカンドレディ	second lady
ベルファスト	belfast
バーバラ・ブッシュ	Barbara Bush
シーズン・オブ・ミスト	season of mist
レアル・バリャドリード	real valladolid
ピョートル1世	Peter I
群馬県	Gunma Prefecture
ジョン・ケイル	John Cale
労働党 (オランダ)	Labor Party (Netherlands)
アラバマ州	Alabama
ジョン・c・ステニス	John C. Stennis
ロサンゼルス・メモリアル・スポーツ・アリーナ	Los Angeles Memorial Sports Arena
連合軍軍政期 (ドイツ)	Allied military period (Germany)
アムステルダム・アレナ	amsterdam arena
マリリン・マンソン (バンド)	marilyn manson (band)
フラワーボウル	flower bowl
アルベール・カミュ	Albert Camus
アンブライドルド	unbridled
ニューレイヴ	new rave
エイジア	Asia
オールド・トラッフォード	Old Trafford
坂本龍一	Ryuichi Sakamoto
東條英機	Hideki Tojo
ネオユニヴァース	Neo Universe
エリダヌス座	Eridanus
カザフ語	Kazakh
ダラス郡 (テキサス州)	Dallas County (Texas)
kiss (l'arc〜en〜cielのアルバム)	kiss (l'arc~en~ciel album)
ウルティモ・ドラゴン	Ultimo Dragon
胡錦濤	Hu Jintao
チェスターハウス	chester house
キャスパー・ワインバーガー	Casper Weinberger
グロースターク	glow stark
スポルティング・デ・ヒホン	Sporting de Gijon
岡田啓介	Keisuke Okada
アシッドジャズ	acid jazz
阮朝	Nguyen Dynasty
secret (倖田來未のアルバム)	secret (Kumi Koda album)
サッカーカナダ代表	Canadian national soccer team
バスティノ	Bustino
ジョン・シャーマン (政治家)	John Sherman (politician)
デントン郡 (テキサス州)	Denton County (Texas)
フリートウッド・マック	fleetwood mac
デインヒルダンサー	dainhill dancer
カリフォルニア工科大学	California Institute of Technology
best〜third universe〜 & 8th al %22universe%22	best ~ third universe ~ & 8th al %22universe%22
マタドール・レコード	matador record
ジャーニー (バンド)	journey (band)
タガログ語	Tagalog
ガリシア語	Galician
ジェフ・アメン	Jeff Ament
ザ・ファーム (the firm)	the firm
ボルシア・メンヒェングラートバッハ	Borussia Mönchengladbach
ティンバランド	Timbaland
アンディ・サマーズ	Andy Summers
次の足跡	next footprint
リトアニア社会民主党	Lithuanian Social Democratic Party
サーピーターティーズル	serpent teasle
ソビエト連邦最高会議幹部会議長	President of the Presidium of the Supreme Soviet of the Soviet Union
フレンチ・インディアン戦争	french and indian war
漢字	Chinese characters
ブルー・マンデー (ニュー・オーダーの曲)	Blue Monday (New Order song)
ウクライナ人	Ukrainian
第4師団 (日本軍)	4th Division (Japanese Army)
キングズベスト	King's Best
アンドリュー・ラマー・アレクサンダー	Andrew Lamar Alexander
ロバート・フリップ	Robert Fripp
ウースター郡 (マサチューセッツ州)	Worcester County, Massachusetts
コートマーシャル	coat marshall
スティーヴ・マリオット	Steve Marriott
ベン・ナイトホース・キャンベル	ben nighthorse campbell
オック語	Occitan
ロバート・ゲーツ	Robert Gates
バーラム	barham
バングラデシュ	Bangladesh
山東省	Shandong
パラダイス・ロスト (バンド)	Paradise Lost (band)
ミカエル・オーカーフェルト	Michael Okerfeldt
ブラー	Blur
サンクトペテルブルク大学	Saint Petersburg University
ナポリ語	Neapolitan
チェコ語	Czech language
ジュバル・アーリー	Jubal Early
fc岐阜	fc gifu
ジャン＝クロード・ユンケル	Jean-Claude Juncker
インテンショナリー	intentionally
黒田東彦	Haruhiko Kuroda
藤井裕久	Hirohisa Fujii
サンライフ・スタジアム	Sunlife Stadium
j・e・b・スチュアート	j.e.b. stuart
ジャスティン・ティンバーレイク	Justin Timberlake
ジェイムズ・マクリアリー	James McCreary
近衛師団	Imperial Guard Division
ロバート・トッド・リンカーン	robert todd lincoln
国務院総理	Prime Minister of the State Council
チャールズ・ウッド (初代ハリファックス子爵)	Charles Wood, 1st Viscount Halifax
クリメント・ヴォロシーロフ	Clement Voroshilov
アファームド	Affirmed
川瀬智子	Tomoko Kawase
恋を抱きしめよう	embrace love
ストロム・サーモンド	Strom Thurmond
ダン・ウェルドン	Dan Weldon
クリス・ハンフリーズ	Chris Humphries
フレデリック・スペンサー (第4代スペンサー伯爵)	Frederick Spencer, 4th Earl Spencer
フィル・アンセルモ	Phil Anselmo
タイム (雑誌)	time (magazine)
アナーキー・イン・ザ・u.k.	anarchy in the u.k.
ビル・スティアー	Bill Steer
ジェイムズ・t・モアヘッド	James T. Morehead
ベラルーシ	Belarus
シャルル・ド・モンテスキュー	Charles de Montesquieu
fayray	fayray
ディオンヌ・ワーウィック	Dionne Warwick
コブシ	magnolia
ウィリアム・フリスト	William Frist
ニコライ・ルイシコフ	Nikolai Lyushkov
アーサー・セシル・ピグー	Arthur Cecil Pigou
スモーク・オン・ザ・ウォーター	smoke on the water
ボワルセル	boircelles
ジェラルド・グリーン	gerald green
フィンランド中央党	Finnish Center Party
ゴルカ朝	Gorkha dynasty
大日本帝国海軍	Imperial Japanese Navy
ルー・ウォーレス	Lou Wallace
ロバート・マクナマラ	Robert McNamara
ヘヴン・アンド・ヘル (バンド)	heaven and hell (band)
フランツ・カフカ	Franz Kafka
ロビー・ウィリアムズ	Robbie Williams
ソユーズtma-12m	soyuz tma-12m
トゥワ	Tuwa
タルヤー	talya
fcアウクスブルク	fc augsburg
steam	steam
ブラック・アイド・ピーズ	Black Eyed Peas
スコットランド・ゲール語	Scottish Gaelic
ジョン・マナーズ (第7代ラトランド公爵)	John Manners, 7th Duke of Rutland
マーティ・フリードマン	Marty Friedman
うたわれるもの	sung
ユタ州	Utah
ボン・ジョヴィ	Bon Jovi
エルプラド	El Prado
南アフリカ連邦	Commonwealth of South Africa
ヴェルダー・ブレーメン	Werder Bremen
シーバード	seabird
blue blood	blue blood
ニック・クレッグ	Nick Clegg
徳川氏	Mr. Tokugawa
ヘンリー・ペラム	Henry Pelham
ジョージ・コリアス	George Colliers
アレマン語	Alemannic
ポストメタル	post metal
ミャンマー	Myanmar
レッドブル・ザルツブルク	red bull salzburg
ネパール王国	Kingdom of Nepal
エリフ・ルート	Elif Route
グレアム・コクソン	Graham Coxon
utada hikaru single collection vol.2	utada hikaru single collection vol.2
アドリア海	adriatic sea
サッカーペルー代表	Peru national football team
wii	wii
ナンシー・ペロシ	Nancy Pelosi
恋するフォーチュンクッキー	Koisuru Fortune Cookie
ウィンフィールド・スコット・ハンコック	winfield scott hancock
ソユーズ (ロケット)	Soyuz (rocket)
ダマスカス (競走馬)	Damascus (racehorse)
ウィリアム・ヴァーノン・ハーコート	William Vernon Harcourt
アリシドン	Alycidon
ジョン・リード (イギリスの政治家)	John Reed (British politician)
ホット・スペース	hot space
ブルガリア語	Bulgarian
イモータル (バンド)	immortal (band)
オーストラリア労働党	Australian Labor Party
エヴァレット・ダークセン	Everett Dirksen
テレビ愛知	TV Aichi
ipad	iPad
チベット語	Tibetan
クロスオーバー・スラッシュ	crossover slash
ベトナム語	Vietnamese
ハーマン・リ	Herman Li
ジョン・スペンサー＝チャーチル (第7代マールバラ公)	John Spencer-Churchill (7th Duke of Marlborough)
ザカライア・チャンドラー	Zachariah Chandler
ballada	ballada
東京メトロポリタンテレビジョン	Tokyo Metropolitan Television
櫻内義雄	Yoshio Sakurauchi
滋賀県	Shiga Prefecture
大西順子 (ミュージシャン)	Junko Onishi (musician)
ボブ・エズリン	Bob Ezrin
エドワード・ヴァン・ヘイレン	Edward Van Halen
シアトリカル	Theatrical
ヘンリー・ウィルソン	Henry Wilson
アレクサンダー・ヴルツ	Alexander Wurz
ペーター・グスタフ・ディリクレ	Peter Gustav Dirichlet
トゥーリー	Tooley
ウェスタン・カンファレンス (nba)	Western Conference (nba)
エドワード・グレイ	Edward Gray
ジャワ語	Javanese
アルトゥル・ザイス＝インクヴァルト	Artur Seiss-Inkwald
ロンドン自治区	Borough of London
タンティエーム	Tantième
シアトル・スーパーソニックス	Seattle SuperSonics
レディングfc	reading fc
ジョン・ハミルトン＝ゴードン (初代アバディーン＝テメイア侯爵)	John Hamilton-Gordon (1st Marquess of Aberdeen and Temeia)
クアルコム・スタジアム	Qualcomm Stadium
ユーロポップ	euro pop
アレクサンダー・ヘイグ	Alexander Haig
メアリー・オブ・テック	Mary of Tech
インディアン	Indian
リチャード・ホルブルック	Richard Holbrook
バステッド (競走馬)	Busted (racehorse)
フランクリン・ピール	franklin peel
フー・ファイターズ	Foo Fighters
fifaクラブワールドカップ	fifa club world cup
mr.children	Mr. children
ジョン・デイビス (マサチューセッツ州知事)	John Davis (Governor of Massachusetts)
ガストン・ドゥメルグ	Gaston Doumergue
ディーヴォ	Devo
ヨーゼフ・ゲッベルス	Joseph Goebbels
李先念	Lee Sunnen
ゼム・クルックド・ヴァルチャーズ	Them Crooked Vultures
マリアーノ・ラホイ・ブレイ	Mariano Rajoy Bray
ロン・ウッド	Ron Wood
トーマス・フォーリー	Thomas Foley
クァンタン・メイヤスー	Kuantan Meiyasu
チャヴズ	chaves
フランツ・ヨーゼフ1世	Franz Joseph I
スリラー (曲)	thriller (song)
アルギルダス・ブトケヴィチュース	algirdas butkevichus
デイヴ・ナヴァロ	Dave Navarro
アークチュラス	Arcturus
細田博之	Hiroyuki Hosoda
行政院長	Executive Yuan
ジェフ・スコット・ソート	Jeff Scott Thought
バイオハザードシリーズ	Resident Evil series
rust (プログラミング言語)	rust (programming language)
インティカブ	Inticab
マンチェスター大学	University of Manchester
華麗なるレース	splendid lace
レオニード・ブレジネフ	Leonid Brezhnev
松永光	Hikaru Matsunaga
アイル (アルバム)	Isle (album)
ジョルジュ・ポンピドゥー	Georges Pompidou
ジョルジュ・バタイユ	Georges Bataille
カントリー・ポップ	country pop
ダニエル・アーランドソン	Daniel Erlandson
クリーブランド・スタジアム	cleveland stadium
港区 (東京都)	Minato Ward (Tokyo)
ドン・カルロス・ビューエル	Don Carlos Buell
sリーグ	s league
イザベル・ド・ブラジル	Isabelle of Brazil
ヒムヤー	Himya
河野洋平	Yohei Kohno
チャールズ・ジェームズ・フォックス	Charles James Fox
ルーマニア王国	Kingdom of Romania
リック・ロス	Rick Ross
日本語族	Japanese people
ジョージ・スペンサー (第4代マールバラ公)	George Spencer, 4th Duke of Marlborough
マイク・ポートノイ	Mike Portnoy
レバノン	Lebanon
ウイグル文字	Uyghur characters
エンパイアメーカー	empire maker
天国への扉 (ボブ・ディランの曲)	Door to Heaven (Bob Dylan song)
サブスタンス (ニュー・オーダーのアルバム)	Substance (New Order album)
高建	tall building
flow the best	flow the best
アメリカ合衆国大統領首席補佐官	Chief of Staff to the President of the United States
