itinéraire	itinerary
latitude septentrionale	northern latitude
resultatenhuidig	results current
tmoy jan	tmoy jan
orientation	orientation
jour	day
départ	departure
tmin bas nov	tmin bas nov
chanson gagnante	winning song
datetot	date dead
maison de disques	record company
rang pib	rang pib
vf lien	vf link
dernier souverain	last ruler
fondateurs	founders
pluie dec	Dec rain
nb employés	number of employees
positionnement	positioning
cause du décès	cause of death
fusion de	merger of
exploitants	operators
tout paroles	all lyrics
public	public
enregistré	checked in
titre chef	chief title
centre	centre
may rec hi	may rec hi
tmin record haut mar	tmin record haut mar
neige jour mar	snow day tuesday
ad	ad
remarque	remark
tmax record bas date jui	tmax record bas date jui
tmin record aou	tmin record aou
prologue	prologue
motif bg	motif bg
contrôle	control
espace disque	disk space
franchise	franchise
fitness et alimentation	fitness and diet
système de vote	voting system
brouillard jour aou	fog day august
feb precip days	feb precip days
cylindrée	displacement
leader gouv sénat fin	late senate govt leader
nomlocuteurs	namespeakers
nord	north
suivant lien	next link
soleil max date oct	soleil max date oct
nom nl	nl name
points sélection	points selection
système de freinage	braking system
étoile la plus proche	nearest star
population	population
ppa	ppa
services	services
bc	bc
date de signature	signature Date
tenant	tenant
organisation	organisation
nationalité	nationality
rivières	rivers
tmax record bas jan	tmax record bas jan
année pop division	year pop division
tmax bas dec	tmax bas dec
tmax record bas date avr	tmax record bas date avr
ligne	line
joueuses	players
nombre de powiats	nombre de counties
date publication jo	date publication jo
nb virages	number of turns
tableau	picture
dub	dub
brouillard jour mar	fog day tues
tmin bas date nov	tmin base date nov
nom anglais	english name
may precip mm	may precip mm
début carrière ent	career start ent
colonnesup	colonnesup
url texte	url text
leaderd date	leaderd date
sujet	topic
statcan	statcan
colonne plate forme	platform column
date single suivant	next single date
nbreeva	nbreeva
wiktionary titre	wiktionary titre
nom de la tournée	tour name
ppv précédent	previous pvp
prec nbr bas mar	prec nbr bas mar
sbn	sbn
partiap	partiap
critique	critique
tmax haut nov	tmax today Nov
forte chaleur jour jul	intense heat jul day
numéro	number
soleil jan	jan sun
structure	structure
nbbq	nbbq
press haut date dec	press today date dec
joueurs	players
bg	bg
bleues alpin	alpine blue
neige jour ann	year snow day
humidité fev	humidity fev
activité principale	primary activity
tmax record date nov	tmax record date nov
tmax record bas fev	tmax record bas fev
influence	influence
humidité aou	August humidity
annéebud	yearbud
gp disputés	disputed gp
prec nbr haut avr	prec nbr haut avr
collections	collections
embouchure localisation	mouthpiece location
libellé libre	free wording
sep precip inch	sep precip inch
écurie record tour	record lap team
ressources	resources
tirs au but	shoot to the net
papillon	papillon
nombre record de points	record number of points
signalisation	signage
prec nbr haut date mai	prec nbr haut more dates
wikivoyage titre	wikivoyage title
consulté le	consulted the
subdivision	subdivision
norme puissance	norm power
abréviation	abbreviation
épouse	spouse
colderadversaire	colderadversaire
nom titre	name title
prec dec	prec dec
svg background color	svg background color
prec nbr bas date mai	prec nbr bas more dates
meilleur tour	best lap
type coord	type coord
orage jour sep	storm day sep
prec haut sep	prev high sep
pibnomhab année	pibnomhab year
neige record aou	Record snow Aug
soleil record aou	august record sun
provinces	provinces
pluie an mai	rain in may
daïras	happening
depuis	from
résultat coupe europe	european cup result
source altitude	source altitude
socks	socks
singles	singles
bnf	bnf
perdant plus large victoire	loser bigger win
plus large victoire	biggest win
album précédent	previous album
cantonales participation	cantonal participation
source principale longitude	main source longitude
vent sep	sep wind
numero celex	number celex
tmoy aou	tmoy aou
poste	afterwards
prec nbr bas date jan	prec nbr bas date jan
pibppa rang	pibppa rang
forte chaleur jour fev	strong heat day feb
taille logo	logo size
tempseva	tempseva
personnage vert	green character
victoires ko	wins ko
année première impression	year first printing
diagramme titre	title diagram
designer en chef	design a boss
archevêque	archbishop
cinématographie	cinematography
neige record avr	record snow apr
caractéristique	characteristic
soleil avr	sun apr
tivre vo	tivre vo
titre pays	country title
hommes	men
sous titre ouvrage	subtitle book
fonds propres	equity
spectateurs	spectators
jour pluie jan	rainy day jan
partie	part
tmoy jui	tmoy jui
prec nbr haut date dec	prec nbr haut date dec
morceau suivant	next song
tmin record haut date fev	tmin record high date feb
géoloc département	geoloc department
tmin bas date avr	low date apr
équipe nationale	National team
vent nbr nov	vent nbr nov
nov rec hi	nov rec hi
universités	universities
press haut date ann	press skin date ann
carte graphique	Graphic card
nombre orbites	number orbits
préfecture de département	department prefecture
entête	on your mind
ind	in
episodenuméro	episode number
iso brut	big brut
nov	nov
classement	ranking
soleil max date avr	soleil max date avr
assistants capitaine	assistant captain
tmin bas sep	tmin bas sep
wikiquote	wikiquote
père	dad
affi européenne	european poster
brouillard jour jan	jan day fog
caméra	camera
may sun	may sun
titre du commandant en chef	title of Commander-in-Chief
date mort au combat	date killed in action
orage jour nov	storm day nov
debut	debut
échelle principale	main scale
nov rec lo	nov rec lo
tmoy mai	tmoy mai
référendum non	referendum no
hyperliens années	hyperlinks years
pluie jour mm sep	rain day mm sep
oct precip mm	oct precip mm
anciens noms	old names
soleil record fev	soleil record fev
fidélité	loyalty
code téléphonique	telephone code
wilaya	district
date du premier jeu	first game date
sep precip mm	sep precip mm
oct mean	oct mean
date précédente	previous date
jour de parution	publication day
coupe portugal	cup portugal
article détaillé	detailed article
trad	trad
lieutenant gouverneur	lieutenant governor
soleil max avr	sun max apr
etall	etall
sous genres	sub genres
nom complet	Full Name
public cible	target audience
couleur infobox	infobox color
site web	site web
date de mort	date of death
tmax record date aou	tmax record date aou
tmin haut date aou	tmin high date aug
sanséquipe	teamless
largeur totale	total width
feb rec hi	feb rec hi
grêle jour mar	hail day tuesday
électeurs	voters
tmin record haut aou	tmin record high Aug
cand	When
tmin haut date sep	tmin high date sep
parti coalition	parti coalition
plus titré	more titled
bassin	bowl
jan rec lo	jan rec lo
tmin haut date nov	tmin today date nov
nom rm	nom rm
pluie jour mm mai	rain day mm may
intitulé subdivision	titled subdivision
logo resort	logo resort
habitant	inhabitant
abrogation	abrogation
assemblée locale	local assembly
buteur buts	goal scorer
entete siègecommission	head office commission
jul precip mm	jul especially mm
branche	industry
légende	legend
type chambre	room type
comté poste	county post
plume	plume
jourte	day
nomlocal	nomlocal
médecin	doctor
nomregion historique	historical region name
arbre	tree
édition	editing
pibv année	gdp year
collaspe	collapses
physiothérapeute	physiotherapist
pays de la marque	brand country
dernier jeu en date	latest game
tmin haut date ann	tmin haut date ann
matchs nuls amateurs	amateur draws
tmin jui	tmin jui
vq lien	vq lien
footer align	footer align
bordure	border
tmin record avr	tmin record avr
indicatiftel	indicatiftel
pluie jour mai	rain day may
editor nom	editor name
index canton	index canton
plates formes possibles	possible platforms
comté	county
combats	combats
nombre îles	number islands
index commune	index commune
genres dérivés	derived genres
pluie jour mar	rain day tues
soleil jul	sun jul
temples	temples
prépublication	preprint
meilleur buteur sur une saison	top scorer in a season
tmax bas date sep	tmax bas date sep
vent record aou	record wind august
population fond	population fond
député	deputy
conflits	Conflicts
sans décision	without decision
prec haut date fev	prev top date feb
gestionnaire	administrator
particularités	peculiarities
matchs points	matches points
fermeture	closing
date indépendance	independence day
blessés	wounded
prec nbr bas ann	prec nbr bas ann
tmax record jul	tmax record jul
pluie jour mm mar	rain day mm tue
cg	cg
premier vol	premier vol
affaires courantes	Current affairs
siège pays	country headquarters
alignt	alignt
titre orig	original title
embouchure altitude	mouth elevation
pibhab rang	pibhab rang
carburant	fuel
latest	latest
communes fusionnees	merged municipalities
sélectionneur adjoint	assistant coach
attrape	caught
prec nbr haut date fev	prec nbr haut date fev
prec nbr haut date mar	prev high nbr date Tue
perdant premier match	first game loser
pourcents pnb	GNP percent
tmax bas date jan	tmax bas date jan
prec haut date jui	prev top date jun
continent	continent
gare précédente	previous station
revers	setback
press haut date mar	press today date mar
plantes	plants
nbnpd	nbnpd
côtes	ribs
info divers	info divers
championnat constructeur	constructor championship
rapport	report
périgée	perigee
orage jour fev	storm day feb
alternative	alternative
garnison	garrison
poids	weight
altname	altname
éditions	editions
dec mean	dec mean
top	top
clip	clip
personnel	personnel
anne	anne
nomav	nomav
jan hi	jan hi
us open simple	us open simple
nb series	nb series
wikivoyage	Ukraine
nord est	northeast
proches	relatives
nom site	website name
gains en tournois	tournament winnings
titre tome	volume title
carrosseries	bodywork
maîtres	masters
nom pop division	nom pop division
entraîneurs associés	associate coaches
nb	nb
jul rec lo	jul rec lo
nom russe	russian name
parti précédent	previous party
description	description
diagramme chambre	bedroom diagram
date premier match officiel	first official match date
ons	we
conjoint	joint
soleil record ann	sun record year
relégué fin	relegated end
soleil min jul	soleil my Christmas
press bas jan	press bas jan
abrv	abrv
series	series
cover	cover
editeur	editor
co titulaire	co holder
nb précédente	previous number
suspension arrière	rear suspension
avr	avr
open australie double	open australie double
premier	premier
pistee	point
prov	prov
codecomm	codecomm
lieu de naissance	Place of birth
leadera	leadera
vent record mar	vent record sea
wikispecies	wikispecies
gares	stations
commissaire	commissioner
couleur nom	color name
rd team	rd team
directeur thèse	thesis supervisor
sup contenu	extra content
soleil min date sep	sun min date sep
sénateurs	senators
soleil oct	sun october
liau	liau
nov mean	I mean
audience	audience
fonction	function
moteurs	engines
brouillard jour jul	jul day fog
signe pourcent	percent sign
nom local	local name
page	page
ancien nom	former name
vice roi	vice roy
prec nbr haut date jan	prec high nbr date jan
accessdate	accessdate
fréquence	frequency
mise en ligne	on-line
média numérique	digital media
neige record mar	Tue record snow
seuil	threshold
championnat actuel	current championship
spalten	columns
écurie vainqueur	winning team
pib année	gdp year
langues	languages
carhi	carhi
rang	rang
actuel	current
pluie record date jui	record rain date june
worldcatid	worldcatid
régent	regent
titre autorité	authority title
brouillardville	misttown
neige record date oct	snow record date oct
vent record mai	vent record mai
chaîne sœur	sister channel
rang femme	female rank
pluie an jan	rain year jan
année origine	year of origin
gel jour fev	frost day feb
forte chaleur jour oct	high heat day oct
tmax bas jan	tmax bas jan
tmax bas date dec	tmax bas date dec
pluie record oct	oct record rain
st patron	st patron
dotation	endowment
architecte	architect
géoloc pays	country geoloc
bp	bp
prec haut date aou	prev top date Aug
européennes premier pourcentage	european first percentage
ascendants	ascendants
grades	grades
evolène	evolene
president	president
depuis le fonction	from the function
align left	align left
pas grille secondaire	no secondary grid
oct sun	oct sun
académie	academy
sièges parti landtag	sieges parti parliament
match	match
largeur équipes	team width
tmax haut jui	tmax high july
lien titre	title link
index circonscription	constituency index
jul mean	jul mean
prec haut avr	pre high apr
press mai	press mai
vent record avr	vent record avr
coffre vda	vda trunk
mar	mar
prec nbr bas jan	prec nbr bas jan
source secondaire	secondary source
wikibooks	wikibooks
revue	revue
jour pluie mar	rainy day tue
pluie jour mm nov	rain day mm nov
qualificatif date	qualifier date
commons titre	commons title
chanté par	sung by
début du projet	beginning of the project
source confluence altitude	source confluence altitude
oct	oct
dernière version avancée	latest advanced version
pluie jour mm fev	rain day mm feb
imdb	imdb
tmin nov	tmin nov
spécialité	speciality
début construction	start construction
résultat nouv	new result
source localisation	source localisation
press haut fev	press today Feb
pluie jour mm ann	rain day mm ann
tmax bas nov	tmax bas nov
leaderb	leaderb
voàlume	voàlume
étoiles proches	nearby stars
score tab	score tab
tmin haut aou	late afternoon high Aug
représentant état	state representative
tmax haut fev	tmax skin fev
année en cours	current year
longitude	longitude
bgcolor	bgcolor
numéro en club	club number
pluie jour mm aou	rain day mm aug
paroles credits	lyrics credits
date album préc	previous album date
td	td
motif bd	motif bd
mandat cg	commands cg
unicode	unicode
marge	marge
nombre	Name
université	university
studio	studio
couleurcentre	centercolor
none drapeau	none flag
société	society
tmin haut date fev	tmin top date feb
autre	other
version actuelle	current version
traducteur	translator
humidité jan	Jan humidity
dirigeant	leader
headline	headline
profession solennelle	solemn profession
tmax haut date jul	tmax skin date jul
danger	danger
vent nbr mar	vent nbr mar
gel jour jui	july day frost
pluie an jul	rain year jul
neige jour jan	jan day snow
produits	products
style de boxe	boxing style
vent nbr aou	vent nbr aou
logo légende	legend logo
dec lo	dec
béatifié par	beatified by
prec nbr bas date fev	prec nbr bas date fev
nombre de disciplines	name of disciplines
altitude	altitude
nov precip inch	new precip inch
ol	ol
soleil ann	sun an
gel jour nov	on Nov
ins	ins
édition révisée	revised edition
livre	book
européennes premier tour	European first round
homologation	homologation
durée station	station duration
tmin record jui	tmin record july
meilleur classement jo	best jo ranking
partiav	partiav
élison	elison
visiteur total	total visitor
pop catho	pop catho
période orbitale	orbital period
taux	rate
pluie record fev	record rain feb
tmax bas jul	tmax bas jul
implémentations	implementations
doctorants	doctoral students
européennes second pourcentage	European second percentage
longitude orientale	east longitude
vent dec	vent dec
aptes	fit
nomlb	name
date admission	date admission
statut localité	locality status
dec sun	dec sun
sport	sport
editor first	editor first
nom espagnol	spanish name
leadera date	leadera date
calis url	hot url
tmax record ann	tmax record ann
sièges landtag	victorious parliament
squadname	squadname
datepib	datepib
rôle	role
pratiquants	practitioners
forte chaleur jour aou	strong heat august day
famitsu	famitsu
règneav	reigned
langue de facto	actually languish
apr precip inch	apr precip inch
années activité	years of activity
palmarès national	national award
arrondissement	borough
mandat	mandate
tmin record date jui	tmin record date jui
précédent texte	previous text
tmax bas date jui	tmax bas date jui
charte couleur	color chart
couleur ligne	line color
confluence altitude	confluence altitude
score retour mi temps	half time return score
jour pluie fev	rainy day feb
choix draft amh	draft pick amh
découvreur	discoverer
profession autre	other occupation
année draft khl	khl draft year
salinité	salinity
code pays	code pays
lieu de réunion	meeting place
editor last	editor last
compétition continentale	continental competition
créateurs	creators
rev	rev
bordures	borders
équipe ent	ent team
press haut sep	press today sep
superficie notes	surface notes
apr sun	apr sun
arbitre	arbitrator
jul sun	jul am
bras gauche	left arm
répartition ethnique	ethnic breakdown
caption	caption
activité année	activity year
nomofficiel	nomofficiel
vq	vq
diffusion adsl	diffusion adsl
nom dirigeant	ruler name
cout construction	cout construction
législatives second parti	second party legislative
titre original	original title
abréviation postale	postal abbreviation
sceau	seal
mandat chef	chief mandate
licenciés	dismissed
neige jour nov	snow day nov
résultat championnat	championship result
superficie eau	water surface
lieur	dizzy
shorst	shorst
officielle	official
drapeau	flag
cartons	cartons
fondé en	founded in
fin carrière	end of career
points club	points club
tmin bas mar	tmin bas mar
oct precip days	oct precip days
effectifs	workforce
aide	aide
fin de carrière	end of career
victoires décision	wins decision
enseignants	teachers
tmin avr	tmin avr
système exploitation	operating system
metric first	metric first
aita	father
date single préc	date prev single
sur	on
online	online
humidité nov	November humidity
mls	mls
préfacier	preface
tournoi	tournament
accélération	acceleration
club entraîneur	coach club
troisième cycle	Third cycle
aug sun	aug sun
clt superficie	clt surface
mort	dead
prec haut date nov	prec today date nov
prec nbr haut date aou	prec high nbr date Aug
meilleur résultat cc	best cc result
communes cp	communes cp
monarque	monarch
mandatm	mandate
rd seed	rd seed
neige record dec	record snow dec
ouest	west
simuni	simuni
isb	isb
intercommun	intercommun
type indépendance	independence type
gamekult	gamekult
style	style
style entête	header style
forte chaleur jour ann	very hot day
début constr	start construction
conseil des états	council of states
scènes régionales	regional scenes
nom alias	name alias
fondateur	founder
nom alternatif	alternative name
pluit ann	it rains
dimensions	dimensions
press bas date jul	press bas date jul
nbpcc	nbpcc
vols	vols
fuseaux horaires	time zones
chefs croisés	crusader heads
prec haut dec	prev high dec
population capitale	population capitale
nb épisodes	number of episodes
date création	Creation Date
unused data	unused data
ancêtres	ancestors
brisé le	broke it
fips	fips
numéro morceau préc	previous track number
numéro piste préc	previous track number
origines culturelles	cultural origins
statut professionnel	professional status
neige mar	snow tue
date suivante	next date
langue originale	original language
year precip inch	year precip inch
tmin record haut date jui	tmin record high date jul
prec mai	price more
dénominations	denominations
commandant	commandant
mar rec hi	sea ​​rec there
écartement	gauge
municipales second pourcentage	municipal second percentage
auter	either
dimensions et poids	dimensions and weight
membres	members
tmin record date mar	tmin record date mar
tmoy sep	tmoy sep
mandat landtag	mandate parliament
européennes participation	European participation
classement elo	rating
vitesse	speed
scale	scale
siege	siege
sièges pré	pre seats
intitulé région	titled region
wiktionnary	wiktionnary
lien titre sschef	sschef title link
hab	method
longueur du circuit km	circuit length km
nations	nations
site de lancement	launch site
autres titres francophones	other French titles
heure	hour
modèle	model
coût unitaire	unit cost
origlatin	origlatin
mar lo	sea ​​what
durée	duration
date du dernier jeu en date	date of latest game
capitalisation boursière	market capitalization
goals	goals
oct hi	oct hi
gameblog	gameblog
prec bas nov	just before Nov
après	after
supérieure	superior
credits paroles	credits lyrics
titre article	article title
nomm	name
auteurs ouvrage	authors book
objectifs	Goals
influences	influences
box office	box office
ordre	order
mandat chief minister	mandate chief minister
nom resort	resort name
instruments	instruments
équipement sportif	sport equipment
directeurl	manager
other device	other device
authorlink	authorlink
auetur	he will die
ethnicité	ethnicity
sigle	acronyms
statut joueur	player status
soleil record mai	May record sun
déployés	deployed
titre autre	other title
zone telephonique	zone telephonique
exploitant	operator
températures	temperatures
canpd	canpd
langue du titre	title language
sansdéfaiteprolong	undefeated extended
premièrediffusion	premiere
pluie record jul	record rain jul
soleil max date jui	sun max date june
soleil min date dec	sun min date dec
saison entraîneur	coach season
fam	fam
législature	legislature
code iata	code here
rd score	rd score
cantonales second nom	cantonal second name
date single précédent	previous single date
tmin record date nov	tmin record date nov
ouvert	open
scission de	split from
source confluence latitude	source confluence latitude
dialectes	dialects
résultat net	net profit
meilleur réalisateur	best director
lien subdivision	lien subdivision
saison entraineur	coaching season
prec bas date sep	prec bas date sep
author	author
autoroute	highway
decorations	decorations
roche	roche
génération	generation
all writing	all writing
fondation	foundation
carte	map 
pluie record nov	record rain nov
note minuscule	note minuscule
prec bas date oct	prec bas date oct
tmin haut date avr	tmin high date apr
fête	Party
dr	dr
format image	format image
titre coordonnées	title coordinates
compatibilité	compatibility
notes	notes
évaluation	Evaluation
pertes	losses
patrons	patrons
co	co
club année	club year
avant	before
première course	first race
titulature	title
tmax record date jan	tmax record date jan
consulté	consulted
pluie jour aou	rain day august
légende photo	photo caption
undefined	undefined
pluie fev	rain feb
source	source
prec bas jul	prec bas jul
somme du bilan banques	bank balance sheet total
orbitalperiod	orbitalperiod
passagers	passengers
contrat	contract
sous	under
chef état major	chief of staff
population urbaine	urban population
lieu fondation	foundation place
législature titre	title legislature
arrangement	arrangement
datecréation	Creation Date
nombre saisons	number of seasons
press bas date sep	press bas date sep
date de construction	construction date
couronnement	coronation
année de fondation	founding year
wikinews	wikinews
année draft	draft year
premier match pro	premier match pro
press haut date sep	press today date sep
en	in
meilleur classement elo	best rating
press haut date avr	press today date avr
website	website
abbayes filles	daughter abbeys
mandat président	mandate president
étoile la plus brillante	brightest star
pibv	pibv
editor prénom	editor first name
commonscat	commonscat
mois	month
aug lo	grow up
hopman cup	hopman cup
org	org
résidence	residence
tmoy oct	tmoyoct
natvar	natvar
indicatif tél	phone code
teteliste	teteliste
législatives premier parti	first party legislative
surnom français	french nickname
carte légende	legend card
prec nbr bas aou	prec nbr bas aou
cantonales premier pourcentage	cantonal first percentage
match suivant	next match
série	series
meilleur joueur	best player
couleur cadre	frame color
candidat	candidate
terre	earth
enseignants chercheurs	teacher-researchers
allégeance	allegiance
canonisation	canonization
soleil record dec	soleil record dec
dernier titre	last title
année record	record year
ean	ean
nomcarte	name you
site numérique	digital website
réseau	network
tmin haut date jui	tmin high date july
couleur arrière infobox	back color infobox
an	an
fond gagnant	winner background
code langue	language code
tt	tt
collasped	collasped
tmax jul	tmax jul
source principale	main source
tmax bas date avr	tmax bas date avr
distance de course km	running distance km
margebas	margebas
press bas date jui	press bas date jui
ign	ign
direction suivante	next direction
age	age
transit	transit
prec nbr haut fev	prec nbr haut fev
chancelier	chancellor
drapeau lien	flag link
langue de jure	swear language
alias	alias
approbation pontificale	pontifical approval
prec haut jui	prev high ju
étatboîte	statebox
tmin record haut date aou	tmin high record date Aug
docteur mention	doctor mention
ceinture périphérique	peripheral belt
tmax record bas date mar	tmax record bas date mar
révisé	revised
humidité mar	Tue humidity
cellspacing	cellspacing
feb lo	feb
ancien club	old club
soleil max date sep	soleil max date sep
club entraineur	coaching club
canton	canton
pression minimale	minimum pressure
diplôme	diploma
propriétaire	owner
protection	protection
revendication	claim
voies	lanes
îles principales	main islands
date adoption règlement	date adoption by-law
upright	upright
sous titre	subtitle
press jan	press jan
url site	url site
bas	down
rang pib par habitant	rank GDP per capita
none relégué	none relegated
pluie jour nov	rain day nov
clt démographique	demographic clt
nom entourage	entourage name
nom de la voiture	car name
iso	iso
largeur photo	picture width
voy	I go
gare suivante	next station
year sun	year sun
nom allemand	german name
champs	champs
vf	vf
nov sun	Nov. Sun
phone	phone
logo	logo
échelle maxi	max scale
référendum participation	referendum turnout
herbe	grass
liste	listing
nblignes	nblignes
nombre record de sélections	record number of selections
sens	meaning
neige jour jul	jul day snow
année de dissolution	year of dissolution
suspension avant	front suspension
tmax bas jui	tmax bas jui
relégué	relegated
titre sschef	sschef title
interprète	interpreter
grêle jour avr	hail day apr
prénom	first name
diffusion	diffusion
press bas date mai	press bas date mai
date de disparition	date of disappearance
élection précédente	previous election
chief minister	chief minister
titres constructeurs	manufacturer titles
député précédent	previous deputy
tmin record haut date mar	tmin record haut date mar
fin const	fin const
spectateurs ppv	ppv viewers
nomcomplet	nomcomplet
callsign	callsign
responsabilité	responsibility
titre ouvrage	book title
press bas avr	press bas avr
club précédent	previous club
inscription	inscription
neige record jul	jul record snow
tmax record date dec	tmax record date dec
fin construction	fin construction
tension	tension
édieur	editor
humidité jul	jul humidity
none info	none info
tmin record haut ann	tmin record high ann
mission précédente	previous mission
propriétaire initial	original owner
fréquentation	attendance
feb rec lo	feb rec lo
allstars	allstars
populations notes	populations notes
champion	champion
vent mai	more wind
ouvragescycle	workscycle
dd	dd
inauguration	inauguration
légende plan	blueprint legend
grêle jour jui	hail june day
sel	this
passages	passages
press bas mar	press bas mar
nombre épreuves mixtes	number of mixed events
récompenses	rewards
doi	doi
neige record oct	oct record snow
saison junior	season junior
gestionnaire de paquets	package manager
tmin bas date dec	tmin bas date dec
manager	manager
soleil min date fev	soleil min date fev
tmax record aou	tmax record aou
pole position	pole position
plus apparitions	more appearances
brasgauche	brasgauche
total	total
ch	ch
pluie jour avr	rain day apr
parlement	parliament
press bas date dec	press bas date dec
face	face
nbco	nbco
monnaie	change
vent nbr mai	vent nbr mai
lieu de signature	place of signing
lieutenance	lieutenance
religieux	religious
diacres	deacons
couleurs	colors
in	in
internet	internet
légende drapeau	legend flag
année de sortie	release year
adhésion	membership
soleil max dec	soleil max dec
livraisons	deliveries
rang adhésion	membership rank
nom spectacle	name show
période orbitale unité	unit orbital period
tmin haut mar	tmin haut mar
tmin record haut jan	tmin record high jan
boisson	beverage
anciens clubs ent	old clubs ent
propriétaire actuel	current owner
idh catégorie	hdi category
enfants mari	children husband
vent record jul	vent record jul
évolution	evolution
gaeilge	Irish
prec haut jul	before today jul
sansnul	the chance
fev	fev
numeros	numbers
tmin record oct	tmin record oct
drap	murder
collectivites communautaires	community communities
chap	chap
piste suivante	next track
population totale	population totale
hommages	tributes
tmin bas date sep	tmin low date sep
jul	jul
background	background
tmax bas mai	tmax bass may
tmin bas date oct	tmin bas date oct
leaderc date	leaderc date
dab	demon
arbitres retour	return referees
prec haut date jan	prev top date jan
vent aou	August wind
bus	bus
groupe politique	political group
pluie record mar	Tue record rain
autorité	authority
extension	extension
infgen	infgen
catnc	catnc
buts	goals
distributeur	distributer
nom wa	nom wa
pluie mai	may rain
grêle jour ann	hail annus day
cantonales premier tour	cantonal first round
statut	status
saison dernière	last season
élection suivante	next election
sup entête	sub header
prec bas jui	prec bas jui
alternatif	alternative
alternative image	alternative image
diagramme sénat	senate diagram
deuxième prénom	Middle name
municipales premier tour	municipal first round
titre québécois	Quebec title
traductrice	translator
neige oct	snow oct
gnis	fire
années fond	years background
stands	stands
fonc religieuses	religious function
précédente	former
premier cycle	premier cycle
deuxième	second
short	short
gel jour oct	frost day oct
bat	one
employeur	employer
bourgmestreff	bourgmestreff
paradigmes	paradigms
tmin jan	tmin Jan
instrument	instrument
écoles primaires	primary schools
communes	municipalities
month	month
relégué début	relegated start
profondeur max	max depth
taille image	picture size
premier ministre	Prime Minister
tmin record haut date ann	tmin record high date ann
enseignants et enseignats chercheurs	teachers and research professors
nom de	name of
troisième	third
électrification	electrification
vent mar	Tue wind
nbre communes	number of municipalities
origine latitude	origin latitude
work	work
wikiquote titre	wikiquote titre
single précédent	previous single
juridiction	jurisdiction
légende carte	legend map
neige avr	snow apr
objectif	objective
soleil min fev	soleil min fev
wuh	wuh
mission	mission
prec aou	prec aou
nocat	nocat
parti	party
origannée	oregano
origines stylistiques	stylistic origins
trajet	route
latitude	latitude
pluie record dec	record rain dec
œuvres principales	primary works
coalition	coalition
single	single
indicatif	indicative
ietf	ietf
soleil record sep	record sun sep
pattern so	pattern so
prec bas sep	prec bas sep
edge	edge
buteur retour	return scorer
prec nbr haut date sep	prec high nbr date sep
année première	first year
charte	charter
croisés	crusaders
tmin bas date fev	tmin bas date fev
prec nbr bas date oct	prec nbr bas date oct
article principal	article principal
dépositions	depositions
affluence aller	affluence to go
wikisource titre	wikisource title
tmin bas ann	tmin low year
présidentielles hollande	holland presidential
ville depuis	city ​​since
grille	grille
diffusion originale	original broadcast
reconnaissance	reconnaissance
soleil min date jan	sun min date jan
prec bas date fev	prec bas date fev
writing	writing
club poste	post office club
neige sep	snow sep
background color	background color
hkcan	hkcan
blignes	blines
champion pilote	champion driver
collection	collection
prec nbr bas date jul	prec nbr bas date jul
indicatif téléphonique	telephone code
may precip inch	may precip inch
prec nbr haut jul	prec nbr today jul
cca	approx
région iso	iso region
simhor	simhor
pmid	pmid
pluie an nov	rain in Nov
largeur scores	width scores
brouillard jour nov	fog day nov
étudiants thèse	thesis students
devise	devise
couleurbordure	bordercolor
prec bas date mai	prec bas data more
vent nbr jan	vent nbr jan
noprose	noprose
processeur	processor
apogee	apogee
neige jour sep	snow day sep
nb course	nb course
chiffre affaires	turnover
club junior	club junior
tok	took
administrateur	administrator
hauteur	height
défaites amateurs	amateur defeats
rang superficie	area rank
nick	nick
tmin record haut mai	tmin record haut mai
class	class
base	base
oct lo	Oct lo
titres dirigeants	executive titles
wikiversity	wikiversity
adjectifs dérivés	derived adjectives
nice	nice
tmin bas date jan	tmin low date jan
administration	administration
pourcatho	pourcatho
circuit image	circuit image
auteur	author
tmax haut date aou	tmax high date august
bénéfice	profit
code istat	state code
lien blason	coat of arms link
capcc	capcc
temperatureville	temperatureville
neige aou	snow august
annéesuiv	next year
idh année	hdi year
leaderc	leaderc
citation	citation
tmax bas date ann	tmax bas date ann
tmin haut dec	tmin top dec
tmax haut avr	tmax high apr
titre chapitre	chapter title
tmin haut date mai	tmin high date may
tmin record date mai	tmin record date mai
nomligne	nomligne
ventes	sales
commentaire	comment
pluie record avr	record rain apr
pib hab	start the process
communeslimitrophes	communeslimitrophes
pn	pn
état des sources	source status
prédécesseur	predecessor
tire	tire
point le plus bas	lowest point
idées remarquables	remarkable ideas
soleil max sep	soleil max sep
volumes	volumes
titres	securities
île du point culminant	high point island
hiérarchie	hierarchy
url	url
rang population	rang population
tmax record bas date mai	tmax record bass data may
superficiem	the surface
filetype	filetype
tmax bas date fev	tmax bas date fev
neige record date jan	snow record date jan
plus large défaite	biggest defeat
type de noyau	core type
forte chaleur jour nov	strong heat day nov
score	score
fin pontificat	end pontificate
nom langue	name language
pluie jan	Jan rain
présidentielles le pen	presidential le pen
pmc	pmc
artikel	article
récompense	reward
titredumaire	titerdumaire
neige jour avr	snow day apr
pattern sh	pattern sh
parti successeur	successor party
surnoms	nicknames
personnage blanc	white character
patinoire	rink
intronisation	induction
nom unite	unit name
date entrée vigueur	effective date
magnitude brillante	bright magnitude
hanja	hanja
prec haut jan	prev top jan
fiefs	fiefdoms
univers	universe
paroisse	parish
press bas nov	press bas nov
